Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Djibouti,DJI,735.7303869334183,767.1062358630064,762.4751840627521,788.6244733083578,790.5161067088399,766.3156969674505,752.7494466808633,740.0389531179964,745.2067821712287,742.8656971543112,747.7791229410731,749.0816325358693,771.3742316449664,813.8979435752462,852.8901882824756,907.8179437825955,980.0310323995765,1131.635725640376,1164.2516834645207,1227.8208531142875,1322.7262508395504,1418.4608581193277,2102.1979483020787,2239.1145382120885,2409.3119022428323,2545.738798509051,2655.733219601878,2755.8382934181395,2876.0436637153653,2917.9962809563035,3150.4367292633488
Denmark,DNK,27011.37745900509,29569.660356711087,27597.975228635587,29995.57962354798,35351.36546068186,35650.71408609949,32835.93993988334,33368.14241509203,33440.7948054205,30743.547681635344,30751.654348268068,33228.69354488199,40458.77739866089,46511.59833243045,48799.82560112757,52026.99951427223,58487.054967769654,64322.063502084144,58163.2768762815,58041.39843633856,61753.64713197693,58507.50805178526,61191.19370420283,62548.98473329075,53254.85637009154,54663.998371919566,57610.09818011355,61591.92886989586,59592.98068864541,60915.424399546144,68007.7566732955
Dominican Republic,DOM,1349.8152730548038,1562.5220474624832,1726.6254791069887,1896.0171571663093,2114.090599687284,2276.7070608259237,2456.1096184666253,2616.7474101032876,2631.7485510796337,2845.839166610809,2953.241120183469,3085.525528001577,2399.498091240124,2468.437672945144,3903.8162379585056,4080.05002687348,4676.074962876872,5053.324577346018,5002.148441869646,5509.566837139035,5859.37921671885,6049.47174094956,6171.295569683267,6533.666860073273,6838.936594083481,7191.0765718846915,7513.491343099247,7947.1582073210875,8173.33800656006,7167.919159083269,8476.752157309784
Algeria,DZA,1749.2837201216732,1794.6214527531,1825.8756440464135,1522.8252462849741,1466.545511146687,1619.5333886039791,1634.4674098812932,1610.3018262023493,1602.8643126462975,1780.3758735548329,1754.5828381657693,1794.8111142319976,2117.047545147585,2624.79523151946,3131.3285317621094,3500.135412892387,3971.803488282235,4946.56401720758,3898.479700144479,4495.920448143012,5473.2805504316075,5610.730894005144,5519.77757552373,5516.230604172407,4197.421360551412,3967.199451221784,4134.936719994284,4171.795010863738,4022.150183747158,3337.252511575045,3690.6278779759887
Ecuador,ECU,1589.752173570782,1657.8587203979819,1701.1594589909985,2001.1781588533293,2113.2636522054013,2142.3286405069002,2349.218685347041,2293.6558279355227,1582.758606946687,1451.530885179979,1904.8136700722375,2184.209243807997,2438.343684291564,2703.565670574653,3014.310009315896,3340.8409028984884,3579.032243918064,4260.433183964707,4240.702592715641,4640.246344378446,5202.656459020663,5678.455720700033,6050.354611327401,6374.631485636603,6130.586675567683,6079.0887361207715,6246.404252179321,6321.349400717174,6233.258166923628,5645.199289653324,5965.132870544159
"Egypt, Arab Rep.",EGY,637.897597341886,697.7260404795171,758.8296192150331,826.7189671315036,937.5431501305019,1031.4880781050388,1170.8047978922953,1239.3535622708575,1297.5746900609597,1398.8598307867212,1327.0965183299081,1144.5323984197425,1056.9372089659469,1016.253883956284,1133.105460571755,1332.339410002819,1586.4729205797144,1941.8999726933757,2212.2181478893176,2509.772034175215,2645.6225349104047,3059.1354277920445,3088.8908340843,3196.8613807868614,3370.382447160154,3331.612461346881,2315.896626512454,2407.086543435977,2869.5765884390366,3398.8014315308255,3698.8349810586146
Spain,ESP,14811.902819488063,16112.18891521557,13339.908563674966,13415.28700104556,15471.96271653502,16109.084398528403,14730.797175204629,15394.351462824861,15720.640501606078,14749.68742487657,15369.001159944359,17106.68657665804,21510.836245401137,24907.000850585697,26429.15094493193,28389.07857998723,32591.350306587003,35510.72223127005,32169.50285485827,30532.48050816567,31677.90030836518,28322.94659232757,29077.182055756275,29513.651180040433,25754.361029440046,26537.159489454254,28185.321367196946,30379.721112642288,29581.51855132988,26959.675436732585,30103.513733190975
Estonia,EST,4026.201340410626,4269.324586515242,4289.058942607315,4688.671049267338,3134.389753454067,3380.92630243199,3682.952301466944,4093.392477387646,4140.936602321672,4070.609024102077,4505.858332331882,5341.628946770023,7203.523037866464,8914.103556744487,10412.644313796682,12639.400067729599,16744.584451634244,18204.96647867623,14711.735272822261,14663.044612646501,17487.80478309218,17403.205325476676,19056.001922698913,20261.066730388615,17402.037612807897,18295.34293221137,20437.76537673594,23165.84947864373,23424.484707351734,23595.243683644047,27943.70121988201
Ethiopia,ETH,269.6147630642566,201.74350256116747,164.16505354040325,124.5581496365875,133.34110058235294,144.03164867783963,140.26985548585708,123.83052231853786,118.33312794266901,122.96229349662318,119.26185726077216,110.46087472148305,117.86016473352755,134.54248633268423,160.07679177205767,191.75129245507995,240.3479719550318,320.86108971168227,373.89395871214515,335.4384952709307,348.001348291465,458.55092079305757,490.79180403998623,557.534148360438,630.3126821144598,705.6163049829586,755.7517676719567,758.2990595826229,840.4494514648355,918.6525940774195,925.0774280485346
Finland,FIN,25484.739293574657,22319.05946024587,17608.812390226405,20301.333085866037,26271.59981416914,25783.450487861133,24691.872813369886,26009.269488618214,26186.190010575603,24345.914821703296,24967.79251531821,26997.752989778866,32927.68029194071,37772.178111039764,39054.85044238249,41222.60200046105,48476.39272870524,53772.794239002,47481.48453643383,46505.30317918104,51148.9316365833,47708.06127844682,49892.22336327324,50327.24029026321,42801.9081167286,43814.02650569641,46412.136477716915,49987.626158496794,48629.858228303325,49170.752151244145,53654.750296425904
