Region_temporal,log_gdp,log_ntl,dummy_vars_sum,log_gdp_hat,spi_error_std,cent_error_std,lambda,log_gdp_revised
BDI_2014_8,5.530995023035311,-2.518677966374698,5.522091476642034,5.506616792887738,2.1895836509338094,1.4129899423872312,0.5,5.518805907961525
BDI_2014_9,5.536352807753235,-3.0599618117613216,5.523505705041717,5.50470538917387,2.1895836509338094,1.4129899423872312,0.5,5.520529098463553
BDI_2014_10,5.541682039526665,-5.4789152985641465,5.525587487476937,5.491925192140352,2.1895836509338094,1.4129899423872312,0.5,5.516803615833508
BDI_2014_11,5.546983021074295,-5.294969145474036,5.52884353966556,5.496311404113152,2.1895836509338094,1.4129899423872312,0.5,5.521647212593724
BDI_2014_12,5.552256050326052,-5.139659653504752,5.528039069379705,5.496461150803167,2.1895836509338094,1.4129899423872312,0.5,5.524358600564609
BDI_2015_1,5.562399290980978,-2.8801121027379804,5.5197762812909845,5.5020809567747895,2.1895836509338094,1.4129899423872312,0.49975,5.532255203461435
BDI_2015_2,5.572440678560682,-2.2395576635183296,5.511824247306706,5.498064470528915,2.1895836509338094,1.4129899423872312,0.4995,5.535289762648814
BDI_2015_3,5.5823822382558825,-2.415633630072354,5.505366988836235,5.490525406470143,2.1895836509338094,1.4129899423872312,0.49924999999999997,5.536522714986852
BDI_2015_4,5.592225935449731,-5.812593262589022,5.501844460239804,5.466132057252301,2.1895836509338094,1.4129899423872312,0.499,5.529305090229213
BDI_2015_5,5.601973678049836,-5.564656272107484,5.496270063271145,5.462080977901025,2.1895836509338094,1.4129899423872312,0.49875,5.532202193850617
BDI_2015_6,5.611627318707733,-5.3661408097091225,5.4891514851364915,5.456182072960788,2.1895836509338094,1.4129899423872312,0.4985,5.534137863702881
BDI_2015_7,5.621188656932231,-4.1200593219342885,5.481288025131491,5.455974501168901,2.1895836509338094,1.4129899423872312,0.49824999999999997,5.538870703823152
BDI_2015_8,5.630659441102697,-1.8197426648867907,5.472226991112529,5.461046545406778,2.1895836509338094,1.4129899423872312,0.498,5.546192219046129
BDI_2015_9,5.640041370387876,-2.4416507510291625,5.46334421436558,5.448342783569327,2.1895836509338094,1.4129899423872312,0.49775,5.544623398798944
BDI_2015_10,5.649336096575546,-2.5892934422975795,5.454494508689967,5.438585965517097,2.1895836509338094,1.4129899423872312,0.4975,5.544487906373967
BDI_2015_11,5.658545225817917,-4.523446355986262,5.446734868130721,5.418942946029952,2.1895836509338094,1.4129899423872312,0.49724999999999997,5.539402992193351
BDI_2015_12,5.6676703202973995,-5.517047812045639,5.440060768042848,5.406164187658805,2.1895836509338094,1.4129899423872312,0.497,5.537701772376018
BDI_2016_1,5.653956418153514,-5.099274271976117,5.4401683275663695,5.4088385355926745,2.1895836509338094,1.4129899423872312,0.49724999999999997,5.532071551050136
BDI_2016_2,5.640051826773975,-4.805494332840803,5.44052167027307,5.410996853652385,2.1895836509338094,1.4129899423872312,0.4975,5.526096977645984
BDI_2016_3,5.625951168296687,-3.931258094958644,5.43913759534732,5.414984060600849,2.1895836509338094,1.4129899423872312,0.49775,5.520942290441084
BDI_2016_4,5.611648834100132,-2.55924364429758,5.437128460536862,5.421404542443951,2.1895836509338094,1.4129899423872312,0.498,5.516907176855353
BDI_2016_5,5.597138971409319,-3.2385994288686373,5.437500723974011,5.417602863811792,2.1895836509338094,1.4129899423872312,0.49824999999999997,5.507685105798852
BDI_2016_6,5.582415468915606,-4.1825814101931815,5.439017961368378,5.413320303524291,2.1895836509338094,1.4129899423872312,0.4985,5.498121528968035
BDI_2016_7,5.567471941321968,-5.042435301174375,5.439100472562737,5.408119897563113,2.1895836509338094,1.4129899423872312,0.49875,5.4879951094972395
BDI_2016_8,5.552301712715903,-3.7115332738158195,5.4376751536474695,5.414871601775168,2.1895836509338094,1.4129899423872312,0.499,5.483724087356476
BDI_2016_9,5.536897798661609,-3.0271844564558217,5.435097974492211,5.416499041736627,2.1895836509338094,1.4129899423872312,0.49924999999999997,5.476788719266812
BDI_2016_10,5.521252886891179,-4.878995097865183,5.43294108084007,5.402964677668966,2.1895836509338094,1.4129899423872312,0.4995,5.462167926384684
BDI_2016_11,5.505359316461232,-4.107083238514813,5.433577176105278,5.408343376819667,2.1895836509338094,1.4129899423872312,0.49975,5.456875600625359
BDI_2016_12,5.489209055226224,-3.527971069134919,5.433165560784193,5.411489809728273,2.1895836509338094,1.4129899423872312,0.5,5.450349432477249
BDI_2017_1,5.4895773925374876,-3.163602772620174,5.435239309029979,5.415802226130104,2.1895836509338094,1.4129899423872312,0.5,5.452689809333796
BDI_2017_2,5.489945594226328,-2.5516520590647804,5.439522078445091,5.423844802829796,2.1895836509338094,1.4129899423872312,0.5,5.456895198528063
BDI_2017_3,5.490313660392584,-1.998636783488846,5.443705990332788,5.431426424394983,2.1895836509338094,1.4129899423872312,0.5,5.4608700423937835
BDI_2017_4,5.490681591135979,-1.7275813267802507,5.449228769108754,5.438614559968619,2.1895836509338094,1.4129899423872312,0.5,5.464648075552299
BDI_2017_5,5.4910493865561305,-2.840726256777725,5.455465327533126,5.4380119885024785,2.1895836509338094,1.4129899423872312,0.5,5.4645306875293045
BDI_2017_6,5.491417046752544,-2.978675288336894,5.462407914628414,5.444107020782863,2.1895836509338094,1.4129899423872312,0.5,5.467762033767704
