Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39
1994_12,1346.83,276.58,213.5,246.01,487.3,298.2,161.27,397.9,206.23,306.12,350.61,207.24,192.5,211.67,207.44,231.45,403.83,375.9,383.1,348.3,192.54,191.68,306.81,217.26,349.9,262.36,209.63,192.02,206.3,313.46,244.98,329.53,196.11,312.47,206.22,206.84,273.87,383.68
1995_1,1361.53,281.45,216.06,249.33,494.3,302.84,165.12,403.46,211.0,310.7,355.72,212.03,194.57,216.53,212.08,234.21,409.58,381.36,388.74,353.35,194.62,193.75,311.46,221.86,355.04,265.61,214.4,194.11,210.92,318.16,248.24,334.43,198.2,317.18,210.84,211.53,278.62,389.27
1995_2,1377.0,286.47,218.62,252.72,501.66,307.61,168.8,409.24,215.58,315.47,361.11,216.8,196.67,221.19,216.76,237.0,415.56,387.09,394.64,358.66,196.74,195.86,316.18,226.53,360.39,269.03,219.12,196.22,215.52,323.0,251.54,339.54,200.35,322.0,215.47,216.23,283.46,395.1
1995_3,1392.07,291.39,221.22,256.2,508.84,312.39,172.52,414.94,220.16,320.28,366.4,221.31,198.79,225.85,221.43,239.93,421.47,392.66,400.38,363.67,198.93,198.06,320.94,231.14,365.69,272.54,223.71,198.45,220.15,327.86,254.85,344.54,202.51,326.81,220.15,220.83,288.33,400.84
1995_4,1406.0,296.25,223.81,259.54,515.83,317.06,176.04,420.32,224.65,325.19,371.61,225.78,200.88,230.44,225.96,242.65,427.24,398.1,405.9,368.59,201.0,200.12,325.56,235.81,370.8,275.75,228.27,200.52,224.7,332.62,258.11,349.55,204.66,331.51,224.65,225.35,293.21,406.47
1995_5,1420.47,300.93,226.29,262.58,522.6,321.5,179.47,425.86,229.03,329.38,376.65,230.17,202.93,234.92,230.39,245.3,432.84,403.43,411.44,373.51,203.04,202.13,330.12,240.08,375.79,279.03,232.72,202.49,229.13,337.14,261.3,354.22,206.72,336.13,229.08,229.79,297.67,411.86
1995_6,1434.14,305.72,228.8,265.84,529.55,326.09,182.87,431.33,233.48,333.95,381.76,234.63,205.01,239.48,234.84,247.99,438.44,408.83,417.07,378.42,205.09,204.18,334.71,244.52,380.91,282.29,237.24,204.54,233.61,341.84,264.52,359.12,208.82,340.79,233.56,234.28,302.25,417.37
1995_7,1448.44,310.5,231.3,269.12,536.44,330.65,186.25,436.77,237.95,338.56,386.97,239.13,207.07,244.03,239.34,250.68,444.09,414.25,422.65,383.39,207.14,206.24,339.31,248.99,386.03,285.54,241.77,206.65,238.08,346.49,267.73,363.95,210.91,345.41,238.04,238.72,306.96,422.88
1995_8,1462.7,315.31,233.85,272.37,543.5,335.29,189.54,442.42,242.37,343.18,392.1,243.58,209.13,248.59,243.79,253.39,449.95,419.72,428.31,388.43,209.21,208.3,343.98,253.46,391.18,288.86,246.29,208.72,242.52,351.22,270.98,368.89,213.0,350.14,242.47,243.17,311.65,428.53
1995_9,1476.48,320.04,236.36,275.64,550.33,339.87,192.79,447.76,246.79,347.77,397.19,247.99,211.2,253.08,248.22,256.09,455.53,425.07,433.8,393.28,211.27,210.36,348.52,257.89,396.19,292.1,250.76,210.75,246.91,355.87,274.17,373.69,215.11,354.77,246.86,247.62,316.31,433.99
1995_10,1490.22,324.84,238.86,278.94,557.26,344.51,196.0,453.23,251.27,352.54,402.27,252.51,213.22,257.66,252.72,258.88,461.2,430.48,439.37,398.21,213.33,212.39,353.11,262.36,401.31,295.36,255.26,212.78,251.36,360.54,277.38,378.55,217.19,359.42,251.3,252.06,320.99,439.51
1995_11,1503.05,329.44,241.29,282.07,563.92,348.94,199.13,458.44,255.56,356.89,407.25,256.81,215.22,262.02,257.05,261.44,466.6,435.7,444.71,402.97,215.33,214.39,357.54,266.64,406.23,298.51,259.6,214.72,255.66,365.07,280.46,383.25,219.22,363.88,255.62,256.39,325.46,444.82
1995_12,1521.64,334.1,243.71,285.1,570.54,353.34,202.19,463.65,259.84,361.2,412.29,261.11,217.23,266.47,261.34,263.98,471.99,441.09,450.05,407.67,217.27,216.36,362.0,270.92,411.28,301.67,264.0,216.69,259.96,369.59,283.63,388.04,221.21,368.44,259.89,260.69,329.92,450.15
1996_1,1530.55,337.74,246.89,289.18,578.9,358.33,202.75,470.03,260.97,366.68,418.29,262.09,219.88,267.53,262.29,266.8,478.68,447.3,456.77,413.49,219.95,219.01,367.52,272.38,417.26,305.74,264.96,219.36,260.95,375.1,287.63,393.67,223.92,374.04,260.85,261.63,333.49,456.7
1996_2,1544.83,341.52,249.99,293.18,587.21,363.39,203.31,476.33,261.86,372.26,424.54,263.13,222.48,268.58,263.27,269.57,485.3,453.75,463.42,419.27,222.56,221.62,372.92,273.92,423.36,309.73,265.93,222.0,261.95,380.71,291.54,399.5,226.63,379.51,261.81,262.58,337.23,463.33
1996_3,1559.64,345.13,253.15,297.43,595.3,368.52,203.93,482.64,263.01,377.96,430.48,264.14,225.12,269.48,264.35,272.48,491.99,460.05,470.08,425.03,225.13,224.43,378.4,275.38,429.25,313.69,266.93,224.8,262.91,386.26,295.49,405.27,229.34,385.08,262.83,263.7,340.62,469.84
1996_4,1573.12,348.7,256.21,300.99,603.32,373.18,204.32,488.75,263.55,382.87,436.36,264.82,227.68,270.33,265.05,274.97,498.37,466.29,476.44,430.58,227.78,226.8,383.67,276.62,435.13,317.68,267.7,227.19,263.71,391.58,299.32,410.74,231.87,390.4,263.66,264.42,344.0,476.17
1996_5,1586.58,352.32,259.29,304.83,611.3,378.49,204.83,494.9,264.55,388.25,442.29,265.82,230.26,271.32,266.09,277.66,504.95,472.51,482.89,436.13,230.36,229.36,388.98,278.16,441.0,321.58,268.67,229.75,264.67,396.95,303.18,416.37,234.47,395.79,264.61,265.38,347.52,482.54
1996_6,1599.39,355.82,262.25,308.58,619.13,382.78,205.24,500.71,265.34,393.21,448.09,266.62,232.77,272.2,266.86,280.23,511.03,478.56,489.16,441.55,232.85,231.85,394.1,279.32,446.72,325.39,269.48,232.22,265.52,402.12,306.92,421.77,237.01,401.05,265.42,266.19,350.72,488.71
1996_7,1612.08,359.42,265.28,312.39,627.09,387.7,205.72,506.66,266.26,398.48,453.95,267.51,235.29,273.18,267.75,282.86,517.27,484.75,495.56,447.0,235.38,234.38,399.34,280.73,452.52,329.24,270.43,234.76,266.4,407.51,310.71,427.37,239.57,406.31,266.31,267.08,354.18,495.05
1996_8,1624.46,362.8,268.23,316.17,634.62,392.35,206.16,512.48,267.16,403.59,459.56,268.37,237.78,274.05,268.63,285.46,523.42,490.6,501.67,452.34,237.88,236.9,404.45,282.04,458.08,333.03,271.25,237.3,267.28,412.69,314.44,432.67,242.12,411.52,267.25,267.98,357.5,501.0
1996_9,1636.77,366.27,271.23,319.89,642.31,397.0,206.54,518.3,267.99,408.63,465.23,269.21,240.29,274.92,269.48,288.09,529.59,496.56,507.84,457.68,240.4,239.39,409.59,283.35,463.69,336.84,272.11,239.77,268.11,417.86,318.2,438.04,244.67,416.71,268.05,268.84,360.74,507.13
1996_10,1649.3,369.86,274.16,323.67,650.08,401.82,207.04,524.17,268.87,413.84,471.09,270.17,242.72,275.93,270.43,290.73,535.78,502.66,514.11,463.13,242.93,241.88,414.68,284.76,469.45,340.63,273.08,242.28,269.0,423.12,321.86,443.54,247.19,421.84,268.96,269.67,364.14,513.34
1996_11,1660.68,373.23,277.06,327.28,657.59,406.36,207.29,529.75,269.7,418.87,476.65,270.95,245.17,276.8,271.23,293.16,541.68,508.46,520.18,468.3,245.32,244.25,419.64,286.04,474.95,344.13,273.9,244.64,269.8,428.12,325.51,448.77,249.66,426.88,269.75,270.54,367.43,519.28
1996_12,1671.74,376.41,279.85,330.77,664.81,410.69,207.65,535.24,270.52,423.52,481.93,271.71,247.53,277.62,271.93,295.66,547.47,514.06,526.0,473.35,247.65,246.63,424.54,287.11,480.19,347.77,274.59,247.02,270.56,433.05,329.04,453.82,252.05,431.83,270.55,271.34,370.32,525.05
1997_1,1668.32,377.31,281.64,332.75,666.37,412.59,209.26,536.19,271.13,425.23,483.33,272.11,249.46,277.98,272.24,297.73,548.67,515.28,527.41,474.39,249.56,248.7,425.89,287.8,481.49,349.59,274.94,249.15,270.86,434.54,330.81,455.08,254.06,433.3,270.82,271.69,371.19,526.33
1997_2,1660.44,378.77,283.8,334.66,667.72,414.17,210.59,537.42,271.33,427.3,484.79,272.55,251.69,278.44,272.79,299.64,550.14,516.71,529.36,475.7,251.59,250.64,428.04,288.5,482.96,351.3,275.44,251.08,271.61,436.26,332.97,456.74,256.2,435.21,271.12,271.91,372.78,528.0
1997_3,1664.51,379.51,285.28,335.96,670.28,414.8,211.71,538.67,271.51,427.97,486.39,272.84,253.16,278.62,273.01,301.29,551.57,518.45,530.77,476.98,253.34,252.26,428.83,288.57,484.58,353.38,275.71,252.73,271.51,437.42,334.25,458.17,257.75,436.09,271.51,272.33,373.2,529.57
1997_4,1654.98,380.46,287.03,337.42,672.02,415.94,213.0,539.75,271.73,429.4,487.82,272.85,255.04,278.84,273.2,303.11,552.81,519.81,532.01,477.83,255.22,254.12,430.09,288.85,485.93,355.13,275.81,254.46,271.69,438.67,335.96,459.48,259.67,437.48,271.74,272.47,374.0,530.97
1997_5,1658.92,381.26,288.72,338.97,673.64,417.09,214.21,540.68,271.86,430.42,489.09,273.12,256.8,279.05,273.38,304.78,554.02,521.09,533.7,479.19,256.93,255.83,431.41,289.15,487.19,356.76,276.03,256.24,271.99,439.98,337.54,460.77,261.44,438.77,271.91,272.68,374.69,532.32
1997_6,1655.36,382.11,290.34,340.5,675.18,418.17,215.53,541.55,272.1,431.7,490.43,273.29,258.57,279.25,273.56,306.49,555.06,522.35,535.05,480.18,258.69,257.58,432.67,289.44,488.43,358.38,276.2,257.98,272.23,441.2,339.11,461.98,263.22,440.03,272.14,272.91,375.42,533.57
1997_7,1653.16,383.05,292.08,342.09,676.99,419.47,216.86,542.66,272.38,433.08,491.82,273.62,260.35,279.54,273.89,308.28,556.38,523.77,536.62,481.37,260.5,259.39,434.03,289.87,489.83,360.13,276.48,259.79,272.52,442.61,340.75,463.35,265.05,441.37,272.47,273.24,376.26,535.07
1997_8,1650.62,383.96,293.75,343.63,678.56,420.65,218.15,543.64,272.59,434.42,493.1,273.79,262.12,279.79,274.07,310.02,557.56,525.05,538.02,482.48,262.28,261.17,435.34,290.2,491.08,361.81,276.72,261.55,272.71,443.91,342.36,464.63,266.87,442.67,272.58,273.3,377.09,536.37
1997_9,1648.38,384.95,295.43,345.27,680.39,421.82,219.43,544.74,272.9,435.75,494.58,274.1,263.85,280.13,274.37,311.8,558.83,526.5,539.6,483.67,264.03,262.94,436.67,290.56,492.51,363.54,277.0,263.34,272.97,445.22,343.95,466.04,268.65,443.96,272.97,273.7,377.94,537.86
1997_10,1645.34,385.78,297.06,346.75,681.99,422.96,220.64,545.67,273.08,436.98,495.83,274.27,265.58,280.31,274.56,313.48,560.02,527.76,540.95,484.68,265.78,264.64,437.92,290.85,493.78,365.18,277.19,265.04,273.18,446.46,345.53,467.28,270.4,445.26,273.13,273.87,378.66,539.17
1997_11,1642.21,386.5,298.61,348.15,683.33,423.98,221.84,546.44,273.28,438.12,496.84,274.47,267.24,280.47,274.72,315.02,560.95,528.85,542.16,485.6,267.39,266.25,439.07,291.13,494.83,366.69,277.34,266.68,273.34,447.48,347.0,468.4,272.03,446.44,273.3,274.05,379.34,540.33
1997_12,1639.36,387.38,300.21,349.6,684.88,425.14,223.05,547.38,273.46,439.38,498.29,274.65,268.94,280.66,274.91,316.66,562.06,530.12,543.55,486.63,269.06,267.91,440.35,291.44,496.11,368.27,277.53,268.31,273.59,448.88,348.53,469.66,273.73,447.69,273.5,274.24,380.07,541.59
1998_1,1632.12,387.2,304.75,352.47,684.4,424.99,223.98,546.65,273.14,439.27,498.11,274.3,274.5,280.33,274.55,322.21,561.47,529.79,543.3,486.23,274.62,273.46,440.24,291.09,495.87,371.99,277.17,273.88,273.2,448.74,351.61,469.46,279.38,447.55,273.14,273.89,379.8,541.24
