Unnamed: 0,0,1,2,3,4,5
2009_5,894.39,678.18,789.79,607.56,973.05,574.59
2009_6,898.6,678.86,798.64,611.86,977.51,587.08
2009_7,902.88,679.56,807.49,616.22,982.19,599.55
2009_8,907.25,680.38,816.12,620.57,986.84,611.7
2009_9,911.27,680.91,824.62,624.72,991.39,623.64
2009_10,915.3,681.39,832.9,628.71,995.65,635.35
2009_11,919.29,682.52,841.13,632.93,1000.18,646.79
2009_12,924.39,683.24,849.66,637.38,1006.45,658.67
2010_1,929.67,687.73,854.64,641.0,1010.91,662.32
2010_2,936.43,693.36,860.61,645.79,1017.81,666.97
2010_3,943.46,699.15,866.73,650.69,1025.05,671.04
2010_4,950.21,704.79,872.55,655.47,1032.0,675.28
2010_5,956.84,710.38,878.16,660.12,1038.74,679.39
2010_6,963.33,715.8,883.89,664.67,1045.32,683.61
2010_7,970.02,721.41,889.63,669.37,1052.15,687.81
2010_8,976.56,726.96,895.34,674.04,1058.92,692.01
2010_9,983.29,732.49,901.27,678.74,1065.7,696.33
2010_10,989.73,737.94,906.79,683.2,1072.24,700.27
2010_11,996.11,743.34,912.42,687.7,1078.89,704.41
2010_12,1002.33,748.54,917.67,691.99,1084.98,708.26
2011_1,1007.77,753.65,922.43,696.46,1090.08,712.65
2011_2,1013.39,758.88,927.53,701.07,1095.74,716.7
2011_3,1019.0,764.08,932.5,705.58,1101.25,720.37
2011_4,1024.17,769.04,937.07,709.86,1106.22,724.11
2011_5,1029.3,774.08,941.51,714.06,1111.14,727.72
2011_6,1034.47,779.07,946.22,718.34,1116.2,731.52
2011_7,1039.75,784.12,950.99,722.71,1121.38,735.41
2011_8,1045.22,789.27,955.87,727.18,1126.67,739.42
2011_9,1050.4,794.22,960.52,731.53,1131.83,743.3
2011_10,1055.47,799.24,965.01,735.68,1136.66,746.87
2011_11,1060.46,804.03,969.43,739.84,1141.39,750.51
2011_12,1065.46,808.84,973.87,743.96,1146.3,754.21
2012_1,1074.74,814.29,979.07,747.54,1155.96,754.37
2012_2,1084.46,820.06,984.54,751.26,1166.45,754.34
2012_3,1093.83,825.5,989.7,754.86,1176.37,753.88
2012_4,1102.94,831.0,994.63,758.35,1185.91,753.23
2012_5,1112.12,836.44,999.67,761.87,1195.72,752.97
2012_6,1121.07,841.76,1004.49,765.19,1205.17,752.43
2012_7,1130.28,847.19,1009.59,768.71,1214.96,752.19
2012_8,1139.1,852.5,1014.24,772.02,1224.41,751.66
2012_9,1148.29,857.92,1019.3,775.49,1234.08,751.32
2012_10,1157.15,863.1,1024.1,778.79,1243.33,750.79
2012_11,1165.85,868.15,1028.58,781.9,1252.32,750.32
2012_12,1176.27,874.53,1034.29,786.31,1264.88,750.47
2013_1,1404.13,973.9,1199.39,867.0,1523.99,807.34
2013_2,1405.26,977.98,1194.11,865.32,1512.94,803.65
2013_3,1411.84,982.59,1200.05,868.96,1520.91,807.34
2013_4,1417.84,988.65,1202.56,873.47,1522.41,809.38
2013_5,1423.02,994.25,1204.9,874.72,1527.52,809.35
2013_6,1429.68,1001.36,1210.4,878.25,1534.14,811.56
2013_7,1440.7,1011.71,1226.22,888.49,1559.84,820.72
2013_8,1444.13,1012.01,1221.86,886.25,1549.36,817.27
2013_9,1447.82,1017.4,1222.68,888.96,1552.59,818.58
2013_10,1453.68,1022.16,1226.86,891.6,1555.34,820.0
2013_11,1458.94,1028.16,1232.32,894.88,1567.47,823.04
2013_12,1468.9,1033.53,1247.25,902.11,1589.22,829.3
2014_1,1472.81,1037.98,1246.94,901.99,1593.17,829.55
2014_2,1477.35,1039.96,1245.33,904.59,1581.79,831.41
2014_3,1487.04,1044.73,1254.2,909.7,1592.39,837.45
2014_4,1492.99,1048.25,1260.75,913.53,1597.93,840.99
2014_5,1498.05,1053.02,1271.52,916.74,1620.28,848.34
2014_6,1509.84,1060.34,1280.33,924.95,1627.6,854.8
2014_7,1511.44,1061.63,1281.72,924.11,1622.87,858.13
2014_8,1514.5,1061.18,1278.58,924.79,1619.36,856.03
2014_9,1519.48,1063.92,1281.34,927.49,1622.61,860.29
2014_10,1526.89,1067.97,1293.0,931.52,1637.07,863.94
2014_11,1538.86,1076.8,1306.64,940.89,1660.66,874.36
2014_12,1542.37,1076.95,1309.75,940.77,1664.93,876.65
2015_1,1532.23,1068.37,1292.39,932.86,1635.16,865.92
2015_2,1528.56,1062.32,1289.88,929.31,1635.01,862.11
2015_3,1523.27,1054.6,1284.52,925.5,1627.55,858.15
2015_4,1518.74,1049.38,1288.35,923.28,1637.91,858.53
2015_5,1513.58,1046.12,1277.04,919.39,1625.13,850.61
2015_6,1507.09,1038.56,1270.36,912.86,1609.57,847.19
2015_7,1502.17,1032.84,1267.36,908.52,1608.79,844.18
2015_8,1496.01,1022.82,1257.07,901.7,1599.8,834.61
2015_9,1490.79,1014.97,1253.98,897.45,1594.59,831.07
2015_10,1483.73,1007.4,1249.19,892.64,1587.91,827.9
2015_11,1475.08,999.5,1240.32,886.74,1576.81,822.01
2015_12,1470.76,994.21,1241.78,883.53,1570.99,817.59
2016_1,1477.4,997.04,1245.66,886.48,1594.68,817.95
2016_2,1477.42,996.51,1241.66,881.94,1587.74,810.35
2016_3,1478.17,995.34,1236.55,878.77,1586.75,803.34
2016_4,1480.81,995.45,1232.07,879.01,1583.27,799.91
2016_5,1482.31,996.13,1229.25,876.8,1583.14,794.44
2016_6,1485.06,999.91,1228.19,876.67,1592.16,789.38
2016_7,1489.84,1001.89,1235.59,878.21,1603.83,788.02
2016_8,1490.23,1000.92,1233.43,876.62,1595.98,784.43
2016_9,1489.49,997.33,1222.71,871.24,1590.11,774.07
2016_10,1490.29,997.41,1220.5,870.21,1590.66,769.44
2016_11,1494.28,998.09,1226.76,869.97,1610.97,767.38
2016_12,1497.6,999.19,1227.96,870.26,1614.84,764.42
2017_1,1502.87,1001.92,1222.94,870.31,1601.41,762.3
2017_2,1511.2,1006.72,1229.81,874.48,1613.0,764.8
2017_3,1521.4,1011.66,1238.28,879.32,1625.17,768.77
2017_4,1530.26,1015.95,1245.19,883.5,1634.94,772.0
2017_5,1537.51,1020.26,1248.88,885.81,1641.92,773.18
2017_6,1545.6,1024.2,1254.11,889.33,1649.51,775.53
2017_7,1553.89,1028.63,1259.14,893.17,1657.29,778.33
2017_8,1561.05,1032.15,1263.77,895.62,1665.14,779.19
2017_9,1570.37,1037.22,1272.12,900.38,1676.2,783.44
2017_10,1577.91,1041.07,1277.19,903.69,1684.52,785.82
2017_11,1586.19,1045.59,1282.06,907.28,1691.74,788.13
2017_12,1594.96,1049.9,1287.56,910.97,1700.41,790.32
2018_1,1605.05,1054.59,1294.5,914.92,1710.61,793.6
2018_2,1614.33,1058.72,1300.3,918.0,1719.72,796.22
2018_3,1626.07,1063.91,1310.48,923.76,1735.2,800.76
2018_4,1643.03,1068.48,1322.61,930.53,1752.68,805.7
