Unnamed: 0,0,1,2,3,5,6,7,8,9,10,11,12,13
2001_6,249.58,213.3,338.03,443.64,332.71,333.82,366.74,408.1,423.39,318.11,401.35,333.81,302.9
2001_7,248.5,212.67,337.7,442.98,332.35,333.46,366.38,407.73,422.98,317.55,400.71,333.49,302.05
2001_8,247.42,212.04,337.35,442.22,332.03,333.14,366.02,407.37,422.55,316.98,400.05,333.11,301.21
2001_9,246.4,211.36,336.99,441.49,331.65,332.79,365.65,407.01,422.08,316.43,399.47,332.73,300.39
2001_10,245.3,210.73,336.59,440.74,331.15,332.38,365.25,406.57,421.6,315.79,398.77,332.31,299.51
2001_11,244.06,209.92,336.09,439.85,330.62,331.87,364.73,406.03,421.01,315.06,397.96,331.86,298.52
2001_12,242.96,209.27,335.48,438.95,330.14,331.37,364.15,405.47,420.32,314.4,397.13,331.33,297.57
2002_1,243.54,209.26,335.88,438.75,330.46,331.82,364.49,405.58,420.41,314.79,397.32,331.85,297.91
2002_2,244.27,209.41,336.64,438.82,331.16,332.53,365.03,405.9,420.68,315.46,397.77,332.45,298.48
2002_3,244.66,209.49,337.2,438.81,331.68,333.12,365.44,406.07,420.81,315.97,398.06,332.97,298.83
2002_4,245.16,209.58,337.8,438.65,332.27,333.71,365.83,406.23,420.9,316.48,398.29,333.49,299.21
2002_5,245.55,209.54,338.27,438.32,332.69,334.16,366.09,406.17,420.87,316.84,398.29,333.97,299.44
2002_6,245.94,209.5,338.66,437.89,333.05,334.53,366.27,406.16,420.76,317.16,398.28,334.42,299.67
2002_7,246.25,209.48,339.06,437.48,333.45,334.93,366.49,406.13,420.67,317.55,398.12,334.8,299.88
2002_8,246.81,209.47,339.54,437.45,333.88,335.4,366.75,406.11,420.67,317.95,398.43,335.17,300.2
2002_9,247.21,209.37,339.86,437.06,334.17,335.75,366.9,406.03,420.47,318.23,398.45,335.46,300.41
2002_10,247.57,209.24,340.19,436.67,334.42,336.07,367.03,405.87,420.27,318.46,398.43,335.73,300.56
2002_11,247.86,209.07,340.39,436.07,334.52,336.25,367.03,405.59,419.95,318.62,398.21,335.95,300.64
2002_12,248.03,208.84,340.37,435.41,334.62,336.39,366.92,405.26,419.5,318.7,397.9,335.94,300.69
