Unnamed: 0,0,1,4,5,6,7,8,9,10,11
2005_5,294.8,421.95,340.33,386.75,533.36,515.1,585.26,418.46,543.65,438.01
2005_6,297.78,425.2,343.76,390.6,538.51,520.21,590.81,421.63,548.87,441.73
2005_7,300.9,428.59,347.2,394.47,543.82,525.36,596.43,425.0,554.12,445.48
2005_8,303.98,431.99,350.65,398.36,549.19,530.63,602.15,428.32,559.44,449.25
2005_9,306.97,435.3,354.04,402.19,554.42,535.74,607.73,431.52,564.69,452.93
2005_10,310.0,438.64,357.47,406.09,559.73,540.93,613.38,434.73,569.93,456.63
2005_11,312.98,441.87,360.84,409.83,564.92,545.96,618.83,437.84,575.1,460.2
2005_12,315.86,444.94,364.41,413.62,570.04,550.97,624.26,440.74,580.09,463.73
2006_1,318.41,447.67,368.09,419.4,581.49,562.41,636.78,443.29,591.83,468.24
2006_2,321.27,450.92,371.73,425.14,593.63,573.9,649.55,446.1,603.71,473.25
2006_3,324.05,453.81,375.1,430.75,605.19,585.15,661.93,448.71,615.28,477.92
2006_4,326.52,456.62,378.88,436.42,616.6,596.24,674.13,451.12,626.45,482.39
2006_5,329.03,459.23,382.14,441.76,627.84,607.23,686.1,453.4,637.77,486.82
2006_6,331.61,461.97,385.68,447.33,639.2,618.27,698.32,455.83,649.15,491.32
2006_7,334.07,464.53,389.1,452.71,650.4,629.13,710.26,458.08,660.3,495.62
2006_8,336.63,467.18,392.56,458.18,661.65,640.13,722.28,460.46,671.51,500.06
2006_9,339.01,469.71,395.95,463.49,672.73,650.92,734.17,462.55,682.59,504.31
2006_10,341.38,472.14,399.33,468.81,683.59,661.57,745.83,464.63,693.47,508.51
2006_11,343.68,474.5,402.53,473.94,694.52,672.16,757.37,466.53,704.28,512.52
2006_12,345.97,476.77,405.84,479.15,705.36,682.72,768.87,469.0,714.99,516.58
2007_1,350.77,483.21,411.5,486.38,716.38,693.57,780.27,474.85,726.53,523.83
2007_2,354.87,488.94,416.44,492.79,726.52,703.47,789.86,480.32,734.99,530.42
2007_3,358.21,493.64,421.55,498.27,735.34,711.98,800.69,484.92,744.79,536.1
2007_4,362.36,499.39,426.72,504.72,745.49,721.83,811.5,490.42,754.81,542.66
2007_5,366.33,504.93,431.7,510.92,755.23,731.46,821.78,495.77,764.49,549.08
2007_6,370.27,510.47,436.81,517.11,765.06,740.98,832.19,501.12,774.27,555.32
2007_7,374.37,516.12,442.01,523.57,775.03,750.77,842.79,506.62,784.14,561.91
2007_8,378.36,521.79,447.16,529.75,784.95,760.42,853.23,512.07,793.92,568.3
2007_9,382.4,527.47,452.35,536.17,795.04,770.26,863.95,517.53,804.0,574.9
2007_10,386.39,533.04,457.55,542.48,804.85,779.92,874.34,522.86,813.71,581.29
2007_11,390.19,538.28,462.52,548.56,814.36,789.19,884.48,527.83,823.29,587.47
2007_12,394.09,543.79,467.67,554.8,824.04,798.72,894.59,533.5,832.67,593.8
2008_1,400.07,552.62,474.34,561.71,832.65,807.13,903.67,542.1,841.24,602.34
2008_2,406.99,561.97,480.77,568.56,841.13,815.42,912.58,551.96,849.64,611.75
2008_3,412.58,570.56,486.84,575.29,849.59,823.67,921.52,560.05,858.07,620.23
2008_4,418.67,579.34,492.9,581.92,857.79,831.75,930.08,568.83,866.12,628.78
2008_5,424.58,588.04,499.01,588.41,865.87,839.65,938.57,577.47,874.11,637.17
2008_6,430.54,596.71,505.04,594.89,873.89,847.48,946.79,586.2,881.89,645.59
2008_7,436.5,605.4,511.15,601.39,881.88,855.27,955.23,594.91,889.82,654.02
2008_8,442.5,614.16,517.38,608.07,890.12,863.38,963.9,603.71,898.05,662.65
2008_9,448.39,622.82,523.63,614.84,898.1,871.41,972.41,612.28,906.0,671.09
2008_10,454.39,631.49,529.69,621.4,906.23,879.26,980.83,620.92,913.92,679.65
2008_11,460.18,639.97,535.78,627.6,914.12,886.98,988.99,629.74,921.62,687.86
2008_12,466.66,649.53,542.38,635.05,923.45,896.14,998.26,638.93,931.17,697.1
2009_1,468.31,648.75,555.46,645.11,927.02,899.7,1002.34,638.14,934.39,697.65
2009_2,470.73,649.48,569.05,656.37,932.81,905.38,1008.22,638.64,939.91,699.44
2009_3,472.8,649.77,581.96,666.87,937.94,910.37,1013.36,638.66,944.83,700.59
2009_4,475.02,650.15,594.65,677.71,943.09,915.53,1018.93,638.84,950.12,702.3
2009_5,476.92,650.35,606.73,687.5,947.81,920.22,1023.61,638.78,954.6,703.37
2009_6,478.84,650.56,618.75,697.28,952.54,924.91,1028.4,638.82,959.13,704.33
2009_7,480.8,650.81,630.65,707.08,957.28,929.66,1033.31,638.92,963.82,705.54
2009_8,482.74,651.14,642.24,716.77,962.37,934.5,1038.16,639.03,968.51,706.83
2009_9,484.5,651.22,653.69,726.18,966.84,939.01,1042.87,638.86,973.06,708.04
2009_10,486.25,651.23,664.85,735.36,971.3,943.5,1047.51,638.64,977.32,708.97
2009_11,487.91,651.94,675.84,744.82,975.81,947.93,1052.15,639.35,981.9,710.19
2009_12,490.27,652.12,687.2,754.33,981.5,953.51,1057.53,639.22,988.3,711.64
2010_1,493.1,656.5,691.16,758.17,986.99,958.87,1063.43,643.47,992.63,716.45
2010_2,496.96,661.99,696.03,763.41,993.9,965.75,1070.67,648.87,999.48,722.2
2010_3,500.93,667.63,700.35,768.63,1001.21,972.9,1078.33,654.36,1006.7,728.21
2010_4,504.78,673.12,704.8,773.76,1008.2,979.77,1085.54,659.9,1013.63,734.01
2010_5,508.51,678.57,709.12,778.75,1015.09,986.51,1092.52,665.27,1020.33,739.66
2010_6,512.18,683.86,713.57,783.67,1021.68,993.11,1099.53,670.47,1026.94,745.21
2010_7,515.96,689.31,718.0,788.71,1028.71,999.9,1106.59,675.91,1033.76,750.93
2010_8,519.79,694.73,722.42,793.66,1035.49,1006.55,1113.68,681.27,1040.48,756.62
2010_9,523.49,700.12,727.02,798.8,1042.34,1013.41,1120.85,686.53,1047.24,762.38
2010_10,527.01,705.45,731.21,803.65,1048.9,1019.95,1127.72,691.65,1053.78,767.87
2010_11,530.72,710.7,735.57,808.43,1055.59,1026.43,1134.57,696.88,1060.4,773.35
2010_12,534.17,715.76,739.72,813.0,1062.09,1032.76,1141.0,701.81,1066.49,778.63
2011_1,538.3,720.85,744.24,817.46,1067.55,1038.22,1146.38,706.92,1071.67,783.77
2011_2,542.51,726.05,748.37,821.98,1073.27,1043.87,1152.41,712.34,1077.33,789.12
2011_3,546.63,731.25,752.23,826.43,1078.87,1049.5,1158.17,717.27,1082.87,794.43
2011_4,550.69,736.21,756.02,830.5,1084.12,1054.68,1163.47,722.28,1087.88,799.41
2011_5,554.64,741.23,759.74,834.54,1089.41,1059.81,1168.6,727.32,1092.88,804.25
2011_6,558.62,746.21,763.7,838.71,1094.69,1064.99,1173.95,732.27,1097.97,809.16
2011_7,562.67,751.25,767.7,842.97,1100.06,1070.27,1179.42,737.31,1103.19,814.24
2011_8,566.81,756.4,771.86,847.33,1105.53,1075.76,1185.04,742.45,1108.5,819.45
2011_9,570.88,761.35,775.75,851.6,1110.71,1080.94,1190.41,747.41,1113.72,824.43
2011_10,574.81,766.37,779.52,855.5,1115.87,1086.02,1195.49,752.38,1118.57,829.31
2011_11,578.69,771.16,783.28,859.52,1120.89,1091.02,1200.51,757.15,1123.37,834.15
2011_12,582.56,775.97,787.13,863.53,1125.94,1096.01,1205.54,761.92,1128.29,838.9
2012_1,585.17,780.94,788.24,866.42,1135.92,1105.79,1215.77,766.84,1137.93,844.84
2012_2,587.68,786.22,788.95,869.64,1146.23,1116.0,1226.74,771.75,1148.35,851.16
2012_3,590.24,791.2,789.32,872.55,1156.29,1125.86,1237.19,776.57,1158.23,857.17
2012_4,592.7,796.23,789.48,875.34,1166.07,1135.45,1247.28,781.31,1167.72,863.08
2012_5,595.16,801.22,790.0,878.22,1175.92,1145.09,1257.54,786.18,1177.51,869.03
2012_6,597.53,806.08,790.28,880.78,1185.54,1154.51,1267.46,790.81,1186.95,874.78
2012_7,600.04,811.07,790.84,883.62,1195.33,1164.2,1277.74,795.62,1196.69,880.74
