Unnamed: 0,0,2,3,4,5,6,7,8,9
2007_7,752.25,798.03,368.41,641.56,510.32,604.54,513.35,975.2,411.52
2007_8,761.91,807.92,372.02,649.32,515.88,612.0,519.37,986.05,416.18
2007_9,771.75,818.1,375.67,657.13,521.48,619.59,525.59,997.46,420.93
2007_10,781.43,827.9,379.22,664.8,526.95,627.04,531.69,1008.18,425.68
2007_11,790.7,837.55,382.55,672.18,532.1,634.28,537.58,1018.68,430.21
2007_12,800.23,847.05,386.17,679.74,537.51,641.61,543.6,1029.23,434.94
2008_1,808.67,855.68,391.97,688.34,546.31,649.23,550.91,1038.49,441.31
2008_2,816.99,864.14,398.83,696.84,555.78,656.73,558.63,1047.53,447.53
2008_3,825.26,872.64,404.23,705.24,564.34,664.23,565.73,1056.76,453.36
2008_4,833.37,880.75,410.19,713.48,573.15,671.48,572.9,1065.48,459.28
2008_5,841.29,888.81,415.99,721.69,581.84,678.67,579.92,1073.94,465.18
2008_6,849.14,896.64,421.86,729.83,590.53,685.74,586.96,1082.3,471.02
2008_7,856.96,904.63,427.72,737.92,599.22,692.92,594.02,1090.79,476.92
2008_8,865.09,912.93,433.64,746.16,608.0,700.26,601.23,1099.61,482.89
2008_9,873.15,920.93,439.4,754.23,616.68,707.58,608.38,1108.06,489.01
2008_10,881.01,928.91,445.29,762.41,625.38,714.79,615.53,1116.69,494.8
2008_11,888.76,936.66,451.07,770.43,633.87,721.82,622.3,1124.95,500.69
2008_12,897.91,946.31,457.36,779.83,643.36,729.45,630.23,1133.14,507.02
2009_1,901.46,949.46,456.99,781.16,642.6,738.97,636.23,1137.88,520.83
2009_2,907.14,955.03,457.55,784.54,643.21,749.41,643.37,1143.57,535.0
2009_3,912.12,959.95,457.77,787.38,643.35,759.11,649.86,1148.31,548.5
2009_4,917.27,965.25,458.13,790.17,643.65,768.91,656.75,1153.52,561.82
2009_5,921.94,969.73,458.27,792.77,643.72,778.05,662.78,1157.83,574.59
