Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1995_1,322.65,181.99,311.15,274.95,212.04,210.96,551.49,225.14,233.12,194.95,424.02,197.5,351.32,210.93,244.62,196.44,198.72,494.65,226.86,292.73,306.26,192.77,329.68,353.37,163.15,320.58,389.08,355.94,362.35
1995_2,327.56,187.69,315.86,278.87,216.75,215.59,558.88,227.9,236.91,197.08,430.39,199.63,356.57,215.52,249.48,198.57,200.85,501.84,231.53,297.59,310.92,194.87,334.69,358.51,164.96,325.46,394.91,361.26,367.76
1995_3,332.52,193.4,320.61,282.78,221.28,220.22,566.09,230.69,240.78,199.28,436.63,201.78,361.8,220.1,254.29,200.71,203.1,508.97,236.16,302.39,315.63,196.94,339.71,363.61,166.82,330.32,400.59,366.29,372.91
1995_4,337.28,198.88,325.21,286.64,225.75,224.74,572.99,233.47,244.54,201.35,442.69,203.91,366.94,224.58,259.04,202.84,205.22,515.84,240.82,307.15,320.42,199.05,344.56,368.36,168.57,335.07,406.11,371.34,377.86
1995_5,341.9,204.23,329.78,290.42,230.15,229.18,579.85,236.14,248.09,203.38,448.6,205.98,371.94,228.96,263.64,204.89,207.31,522.64,245.11,311.67,324.53,201.09,349.36,373.31,170.27,339.71,411.52,376.18,382.95
1995_6,346.61,209.55,334.37,294.25,234.62,233.66,586.6,238.82,251.73,205.44,454.65,208.06,376.96,233.42,268.33,206.98,209.38,529.39,249.56,316.34,329.0,203.21,354.13,378.06,171.97,344.41,417.01,381.11,387.99
1995_7,351.31,214.82,338.97,298.05,239.11,238.12,593.41,241.51,255.42,207.5,460.67,210.16,381.99,237.89,273.02,209.05,211.49,536.2,254.05,320.97,333.51,205.24,358.93,383.05,173.71,349.07,422.52,386.12,393.05
1995_8,356.1,219.99,343.63,301.89,243.56,242.56,600.54,244.25,259.1,209.57,466.8,212.23,387.2,242.3,277.72,211.13,213.6,543.22,258.53,325.67,338.03,207.24,363.92,388.04,175.4,353.88,428.09,391.19,398.2
1995_9,360.81,225.09,348.17,305.68,247.97,246.95,607.29,246.93,262.76,211.64,472.74,214.32,392.17,246.72,282.34,213.23,215.71,549.96,262.97,330.29,342.51,209.29,368.62,392.88,177.09,358.54,433.5,396.04,403.15
1995_10,365.57,230.18,352.75,309.47,252.51,251.38,614.09,249.62,266.43,213.7,478.76,216.39,397.23,251.19,287.03,215.28,217.81,556.79,267.47,334.96,347.17,211.34,373.46,397.73,178.75,363.25,438.99,401.02,408.18
1995_11,370.14,235.11,357.17,313.14,256.79,255.71,620.52,252.22,269.95,215.7,484.54,218.42,402.07,255.49,291.52,217.29,219.84,563.26,271.74,339.46,351.44,213.29,378.08,402.35,180.38,367.73,444.31,405.79,413.04
