Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30,31,32,33,36,37,38,39
1995_1,320.01,466.36,341.7,192.74,164.83,311.41,211.15,208.87,361.09,324.62,301.88,355.99,213.05,197.43,211.86,211.3,309.09,197.32,226.83,249.22,193.31,192.56,449.98,528.15,215.01,418.81,196.33,197.51,263.24,201.46,211.05,403.35,237.03,324.11,239.06
1995_2,324.85,473.3,346.84,194.84,168.68,316.12,215.83,211.32,366.54,329.57,306.45,361.32,217.78,199.56,216.58,215.88,313.86,199.45,229.46,252.53,195.41,194.67,456.62,535.24,219.68,424.6,198.44,199.65,268.19,203.7,215.66,409.41,241.68,329.04,243.76
1995_3,329.68,480.12,351.96,197.04,172.58,320.88,220.45,213.78,371.9,334.54,311.07,366.4,222.39,201.81,221.08,220.47,318.71,201.61,232.15,255.85,197.5,196.73,463.02,542.15,224.42,430.27,200.66,201.84,273.08,205.95,220.28,415.41,246.35,333.98,248.39
1995_4,334.42,486.7,356.97,199.1,176.28,325.49,224.97,216.22,377.08,339.34,315.74,371.34,226.95,203.85,225.54,224.97,323.69,203.75,234.66,259.17,199.58,198.83,469.3,548.76,228.99,435.62,202.8,203.94,277.91,208.22,224.81,421.18,250.98,338.74,253.07
1995_5,339.09,493.16,361.85,201.08,179.87,330.06,229.39,218.58,382.17,343.97,319.77,376.31,231.34,205.92,229.94,229.35,327.88,205.81,237.17,262.35,201.62,200.87,475.41,555.34,233.46,441.01,204.88,206.0,282.54,210.4,229.27,426.81,255.31,343.45,257.36
1995_6,343.79,499.76,366.79,203.12,183.44,334.65,233.88,220.97,387.33,348.7,324.16,381.28,235.83,208.0,234.41,233.81,332.42,207.9,239.66,265.55,203.7,202.99,481.63,561.84,237.99,446.39,206.93,208.08,287.29,212.63,233.77,432.59,259.76,348.18,261.84
1995_7,348.47,506.31,371.7,205.17,186.99,339.25,238.33,223.36,392.52,353.42,328.57,386.29,240.34,210.09,238.9,238.28,337.09,209.99,242.17,268.76,205.75,205.01,487.83,568.39,242.53,451.81,209.03,210.18,292.03,214.81,238.23,438.33,264.26,352.91,266.33
1995_8,353.2,512.99,376.78,207.24,190.45,343.92,242.77,225.77,397.75,358.23,333.0,391.37,244.82,212.17,243.35,242.71,341.7,212.08,244.72,272.04,207.79,207.01,494.16,575.21,247.02,457.46,211.14,212.25,296.79,217.05,242.67,444.21,268.77,357.8,270.82
1995_9,357.86,519.46,381.68,209.28,193.86,348.46,247.2,228.15,402.84,362.97,337.38,396.26,249.26,214.24,247.76,247.13,346.32,214.18,247.23,275.24,209.84,209.07,500.28,581.69,251.44,462.74,213.25,214.34,301.47,219.24,247.06,449.89,273.22,362.45,275.29
1995_10,362.54,526.01,386.62,211.31,197.24,353.05,251.64,230.54,408.0,367.74,341.95,401.24,253.75,216.31,252.28,251.62,351.1,216.25,249.73,278.46,211.85,211.11,506.48,588.2,255.94,468.09,215.33,216.4,306.21,221.42,251.47,455.68,277.74,367.21,279.79
1995_11,367.04,532.29,391.35,213.29,200.52,357.48,255.96,232.83,413.01,372.33,346.14,406.03,258.1,218.3,256.56,255.91,355.42,218.28,252.17,281.55,213.84,213.05,512.48,594.38,260.34,473.21,217.36,218.43,310.77,223.57,255.81,461.23,282.02,371.76,284.09
1995_12,371.66,538.6,396.12,215.25,203.73,361.95,260.24,235.18,418.16,376.89,350.23,410.77,262.41,220.29,260.88,260.2,359.82,220.27,254.59,284.69,215.86,215.07,518.52,600.55,264.66,478.26,219.35,220.46,315.41,225.7,260.13,466.68,286.31,376.33,288.42
1996_1,377.29,546.48,402.04,217.9,204.14,367.48,261.19,238.24,424.12,382.47,355.53,416.65,263.37,222.96,261.88,261.33,365.08,222.96,257.8,288.67,218.5,217.67,525.79,607.94,265.66,484.54,222.05,223.11,318.25,228.54,261.11,473.67,288.47,381.98,290.6
1996_2,382.81,554.33,407.88,220.52,204.52,372.86,262.14,241.21,430.31,388.17,360.89,422.48,264.36,225.64,262.91,262.21,370.5,225.67,260.95,292.55,221.08,220.28,533.23,615.28,266.66,490.72,224.73,225.78,321.19,231.29,262.06,480.46,290.75,387.63,292.82
1996_3,388.39,562.1,413.82,223.37,204.98,378.34,263.22,244.22,436.3,393.8,366.4,428.29,265.44,228.25,263.88,263.38,375.99,228.35,264.09,296.6,223.67,223.21,540.47,622.46,267.69,496.85,227.39,228.54,324.01,234.06,263.05,487.26,292.8,393.29,295.11
1996_4,393.74,569.64,419.46,225.66,205.23,383.61,263.98,247.16,442.27,399.17,371.07,433.89,266.12,230.88,264.59,263.91,380.83,230.89,267.26,300.4,226.25,225.45,547.61,629.66,268.57,502.85,230.0,231.02,326.77,236.82,263.87,493.87,294.79,398.74,297.01
1996_5,399.19,577.22,425.22,228.22,205.57,388.92,264.95,250.1,448.21,404.79,376.18,439.5,267.18,233.47,265.55,264.91,386.15,233.49,270.36,304.28,228.82,227.99,554.75,636.76,269.53,508.77,232.62,233.62,329.62,239.55,264.82,500.5,296.99,404.22,299.38
1996_6,404.48,584.61,430.69,230.68,205.82,394.04,265.75,252.96,454.02,409.91,381.01,444.96,267.93,236.0,266.38,265.7,390.86,236.02,273.37,307.99,231.32,230.52,561.63,643.43,270.4,514.43,235.14,236.15,332.31,242.21,265.69,507.06,298.81,409.5,301.14
1996_7,409.77,592.18,436.26,233.21,206.14,399.26,266.64,255.86,459.94,415.43,386.06,450.47,268.81,238.56,267.28,266.63,396.02,238.57,276.43,311.81,233.83,232.99,568.75,650.12,271.28,520.12,237.72,238.72,335.14,244.9,266.55,513.66,300.89,414.95,303.27
1996_8,415.01,599.31,441.77,235.71,206.43,404.39,267.56,258.7,465.54,420.62,390.98,455.85,269.68,241.09,268.13,267.52,401.0,241.11,279.43,315.51,236.3,235.5,575.44,656.86,272.23,525.9,240.25,241.27,337.78,247.53,267.44,519.93,302.87,420.17,305.27
1996_9,420.24,606.59,447.26,238.18,206.64,409.52,268.39,261.6,471.25,425.87,395.83,461.24,270.53,243.62,268.97,268.35,405.87,243.65,282.48,319.29,238.79,237.95,582.23,663.55,273.1,531.45,242.8,243.79,340.46,250.2,268.27,526.34,304.82,425.49,307.25
1996_10,425.38,613.95,452.72,240.67,206.99,414.6,269.25,264.39,477.09,431.27,400.84,466.73,271.44,246.17,269.93,269.23,410.93,246.16,285.47,322.96,241.21,240.35,589.2,670.2,274.05,537.26,245.33,246.31,343.29,252.8,269.15,532.78,306.86,430.78,309.37
1996_11,430.46,621.06,458.02,243.03,207.08,419.57,270.09,267.19,482.65,436.36,405.67,471.96,272.26,248.56,270.73,270.06,415.77,248.63,288.33,326.64,243.63,242.78,595.84,676.47,274.85,542.55,247.78,248.72,345.91,255.39,269.93,539.06,308.8,435.87,311.3
1996_12,435.44,627.91,463.24,245.42,207.28,424.47,270.87,269.87,488.0,441.29,410.15,477.05,273.09,250.92,271.47,270.89,420.33,250.99,291.15,330.15,246.0,245.17,602.22,682.66,275.7,547.94,250.13,251.13,348.38,257.88,270.72,545.09,310.49,440.91,313.05
1997_1,436.91,629.44,464.65,247.5,208.79,425.83,271.18,271.77,489.25,442.67,411.81,478.1,273.27,252.93,271.9,271.49,422.07,252.99,293.12,331.82,247.92,247.03,603.5,683.03,275.85,548.63,252.04,253.16,349.1,259.75,271.01,546.53,311.36,442.17,314.09
1997_2,438.85,630.93,466.46,249.54,209.98,427.97,271.47,273.97,490.55,444.53,413.87,479.48,273.76,254.88,272.3,271.69,424.06,255.16,295.0,333.99,250.15,249.42,604.76,683.71,276.28,549.66,254.12,255.17,350.31,261.98,271.74,548.13,312.37,444.32,314.86
1997_3,439.71,633.17,467.59,251.04,211.03,428.75,271.87,275.42,492.35,445.7,414.7,480.72,274.04,256.68,272.63,271.88,424.61,256.69,297.1,335.34,251.6,250.74,606.8,684.54,276.69,550.58,255.84,256.83,350.88,263.5,271.65,549.92,312.46,445.24,315.03
1997_4,441.09,634.8,469.03,252.87,212.21,430.02,272.04,277.24,493.68,447.0,415.98,481.56,274.15,258.54,272.65,272.09,426.36,258.61,299.02,336.97,253.47,252.63,608.19,684.98,276.96,551.54,257.7,258.7,351.63,265.33,271.83,551.37,312.98,446.56,315.48
1997_5,442.39,636.42,470.29,254.57,213.32,431.34,272.24,278.93,494.96,448.26,417.26,482.95,274.39,260.27,272.9,272.22,426.96,260.39,300.79,338.61,255.22,254.35,609.51,685.6,277.16,552.06,259.42,260.45,352.27,267.07,272.14,552.89,313.37,447.86,315.95
1997_6,443.68,637.89,471.49,256.31,214.54,432.61,272.47,280.6,496.22,449.45,418.55,483.96,274.59,262.04,273.07,272.46,428.22,262.15,302.56,340.11,256.99,256.09,610.79,685.87,277.37,552.63,261.15,262.24,352.94,268.78,272.39,554.24,313.86,449.07,316.39
1997_7,445.01,639.66,472.89,258.11,215.77,433.95,272.8,282.36,497.61,450.88,419.96,485.16,274.9,263.88,273.38,272.74,429.55,263.97,304.41,341.78,258.76,257.89,612.29,686.53,277.72,553.5,262.95,264.08,353.7,270.58,272.68,555.87,314.46,450.52,316.99
1997_8,446.3,641.17,474.19,259.88,216.95,435.28,272.87,284.08,498.87,452.16,421.32,486.28,274.97,265.63,273.59,272.95,430.89,265.78,306.24,343.37,260.52,259.68,613.59,686.98,277.9,554.28,264.72,265.9,354.41,272.3,272.85,557.19,314.97,451.77,317.49
1997_9,447.59,642.9,475.54,261.65,218.15,436.59,273.28,285.79,500.31,453.49,422.71,487.48,275.32,267.43,273.89,273.26,432.17,267.56,308.06,344.99,262.24,261.39,615.11,687.58,278.26,555.14,266.47,267.66,355.22,274.03,273.12,558.85,315.48,453.16,318.0
1997_10,448.89,644.43,476.83,263.33,219.26,437.85,273.45,287.47,501.58,454.74,423.98,488.5,275.56,269.15,274.06,273.44,433.33,269.33,309.85,346.55,263.95,263.14,616.4,688.11,278.46,555.81,268.2,269.37,355.87,275.72,273.33,560.26,315.93,454.43,318.46
1997_11,450.07,645.71,477.95,264.95,220.36,439.0,273.62,289.05,502.62,455.83,425.15,489.42,275.74,270.81,274.25,273.64,434.43,270.96,311.49,348.0,265.62,264.8,617.49,688.3,278.62,556.32,269.82,270.98,356.44,277.35,273.49,561.52,316.36,455.55,318.88
1997_12,451.32,647.25,479.2,266.6,221.49,440.28,273.81,290.69,503.91,457.11,426.44,490.46,275.91,272.47,274.44,273.81,435.66,272.65,313.21,349.51,267.33,266.45,618.8,688.71,278.84,557.08,271.49,272.68,357.12,279.03,273.74,562.85,316.85,456.79,319.35
1998_1,451.18,646.78,478.98,272.13,221.94,440.18,273.45,295.5,503.66,456.96,426.77,490.06,275.54,278.09,274.1,273.49,435.54,278.28,318.47,352.57,272.85,271.99,618.21,687.12,278.54,556.09,276.97,278.31,356.89,284.28,273.36,562.56,316.54,456.65,319.03
1998_2,451.09,646.4,478.89,277.57,222.42,440.14,273.16,300.19,503.42,456.93,427.21,489.68,275.25,283.66,273.99,273.31,435.54,283.77,323.69,355.65,278.23,277.36,617.71,685.63,278.28,555.25,282.39,283.86,356.73,289.45,273.0,562.34,316.31,456.58,318.82
1998_3,450.95,646.05,478.66,282.82,222.83,440.04,272.8,304.75,503.16,456.8,427.54,489.31,274.93,289.02,273.63,272.88,435.45,289.17,328.71,358.64,283.48,282.57,617.19,684.02,278.0,554.32,287.61,289.22,356.46,294.46,272.66,562.1,316.05,456.45,318.54
1998_4,450.73,645.34,478.34,287.89,223.19,439.68,272.32,309.11,502.87,456.21,427.44,488.73,274.36,294.17,272.96,272.36,435.06,294.36,333.48,361.28,288.53,287.64,616.46,682.33,277.67,553.25,292.67,294.42,356.0,299.21,272.2,561.6,315.59,456.14,317.95
1998_5,450.46,644.63,477.94,292.77,223.45,439.54,271.88,313.35,502.22,456.13,427.82,488.14,273.9,299.11,272.46,271.85,434.9,299.34,338.07,363.95,293.49,292.58,615.52,680.4,277.2,551.99,297.47,299.35,355.67,303.9,271.79,561.01,315.21,455.89,317.64
1998_6,450.22,644.07,477.64,297.59,223.76,439.37,271.49,317.52,501.82,455.85,428.02,487.61,273.52,304.07,272.07,271.45,434.72,304.27,342.65,366.6,298.32,297.41,614.79,678.76,276.81,551.1,302.26,304.28,355.36,308.47,271.37,560.52,314.86,455.65,317.27
1998_7,449.83,643.34,477.13,302.23,224.0,438.99,271.0,321.48,501.3,455.53,428.08,486.99,272.97,308.77,271.55,270.95,434.37,309.02,347.03,369.05,302.97,302.08,613.91,676.86,276.4,549.88,306.87,309.02,354.94,312.87,270.87,560.02,314.4,455.3,316.8
1998_8,449.47,642.54,476.74,306.77,224.24,438.69,270.49,325.38,500.8,455.13,428.14,486.37,272.49,313.38,271.07,270.45,434.01,313.63,351.32,371.48,307.47,306.54,613.09,675.09,275.93,548.77,311.38,313.65,354.53,317.17,270.34,559.46,313.95,454.94,316.32
1998_9,449.04,641.66,476.23,311.18,224.4,438.3,269.97,329.14,500.19,454.73,428.05,485.61,272.01,317.77,270.57,269.96,433.62,318.1,355.45,373.77,311.82,310.92,612.07,673.17,275.45,547.51,315.75,318.14,354.06,321.33,269.81,558.72,313.45,454.51,315.83
1998_10,448.51,640.61,475.59,315.36,224.45,437.79,269.36,332.72,499.53,454.21,427.97,484.8,271.38,322.09,269.98,269.37,433.17,322.41,359.34,375.9,316.03,315.14,610.99,671.05,274.89,546.17,319.91,322.39,353.52,325.3,269.24,557.87,312.89,453.96,315.28
1998_11,447.94,639.58,474.91,319.42,224.51,437.26,268.79,336.19,498.78,453.61,427.79,483.96,270.77,326.24,269.38,268.79,432.6,326.55,363.12,377.94,320.11,319.19,609.89,668.87,274.38,544.73,323.94,326.54,352.97,329.15,268.63,557.13,312.29,453.37,314.69
1998_12,447.23,638.17,474.02,323.27,224.49,436.6,268.06,339.47,497.76,452.79,427.47,482.83,270.08,330.13,268.73,268.15,431.92,330.48,366.65,379.76,324.05,323.14,608.39,666.42,273.65,543.1,327.73,330.43,352.26,332.81,267.96,555.97,311.62,452.55,313.97
1999_1,445.21,635.09,471.83,323.41,224.38,434.7,266.8,339.38,495.4,450.78,425.69,480.42,268.82,330.32,267.57,267.0,429.95,330.63,366.56,379.02,324.23,323.34,605.28,662.25,272.37,540.01,327.86,330.56,350.66,332.87,266.66,553.34,310.14,450.54,312.47
1999_2,443.12,631.82,469.58,323.58,224.3,432.66,265.54,339.27,492.9,448.65,423.87,477.95,267.61,330.4,266.38,265.67,428.03,330.71,366.33,378.19,324.34,323.43,602.03,657.9,271.04,536.84,327.97,330.72,348.97,332.87,265.33,550.61,308.66,448.43,311.03
1999_3,441.02,628.57,467.31,323.73,224.14,430.58,264.06,339.11,490.43,446.27,422.32,475.42,265.88,330.43,264.6,263.96,426.25,330.78,365.98,377.33,324.4,323.54,598.84,653.64,269.68,533.62,327.94,330.8,347.14,332.74,263.79,547.79,306.94,446.34,309.12
1999_4,438.86,625.14,464.98,323.63,224.01,428.54,262.65,338.91,487.83,444.11,419.86,472.81,264.61,330.66,263.23,262.7,423.82,330.96,366.03,376.49,324.51,323.65,595.3,649.29,268.29,530.46,328.24,330.95,345.5,332.9,262.61,544.9,305.47,444.13,307.61
1999_5,436.59,621.82,462.53,323.79,223.87,426.24,261.39,338.63,485.21,441.75,418.26,470.27,263.29,330.61,261.96,261.39,422.18,331.0,365.56,375.51,324.57,323.71,592.14,644.9,266.92,527.2,328.17,331.0,343.71,332.76,261.24,542.01,304.1,441.63,306.1
1999_6,434.33,618.22,459.99,323.86,223.64,424.17,259.83,338.35,482.61,439.59,415.93,467.53,261.71,330.65,260.31,259.83,419.28,331.01,365.29,374.5,324.61,323.74,588.56,640.21,265.37,523.59,328.13,330.97,341.91,332.65,259.76,539.04,302.22,439.46,304.42
1999_7,432.15,614.78,457.49,323.99,223.51,422.02,258.5,338.16,479.9,437.32,414.0,464.82,260.31,330.75,258.97,258.43,417.41,331.1,365.05,373.6,324.71,323.85,585.05,635.3,263.95,520.15,328.18,331.07,340.08,332.6,258.35,536.07,300.65,437.23,302.79
1999_8,429.73,611.17,455.03,323.9,223.22,419.72,257.02,337.77,477.26,434.91,411.91,462.21,258.78,330.64,257.47,256.93,415.13,331.02,364.63,372.51,324.65,323.82,581.61,631.38,262.31,516.94,328.08,330.98,338.23,332.41,256.85,533.05,298.92,434.84,301.05
1999_9,427.49,607.79,452.59,324.01,223.09,417.57,255.58,337.56,474.67,432.72,409.95,459.56,257.4,330.75,256.09,255.55,412.94,331.13,364.43,371.58,324.68,323.9,578.26,626.93,261.01,513.63,328.14,331.07,336.49,332.35,255.41,530.19,297.32,432.57,299.49
1999_10,425.11,604.18,449.99,323.92,222.86,415.26,254.06,337.22,472.01,430.3,407.81,456.82,255.86,330.63,254.56,254.04,410.74,331.1,364.03,370.52,324.63,323.81,574.77,622.39,259.5,510.24,328.07,331.03,334.61,332.18,253.91,527.16,295.62,430.15,297.74
