Unnamed: 0,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,37,38,39
1995_8,406.51,267.4,250.77,342.88,359.41,212.14,245.72,226.9,401.78,211.46,366.9,207.54,353.45,565.09,345.33,671.44,160.75,435.47,243.82,211.55,338.42,397.51,332.01,206.84,346.02,214.4,491.55,343.5,301.39,244.19,212.07,355.6,343.85,211.03,381.6,219.3,244.69
1995_9,411.7,270.54,253.57,347.47,364.27,214.24,250.16,229.27,406.76,213.56,371.63,209.61,358.15,572.16,349.89,679.48,161.94,441.01,248.26,213.64,342.84,402.69,336.33,208.89,350.59,216.5,497.1,348.08,305.26,248.59,216.3,360.32,348.39,213.11,386.54,221.64,249.12
1995_10,416.95,273.75,256.38,352.22,369.22,216.28,254.66,231.66,411.84,215.64,376.49,211.65,362.83,579.32,354.48,687.6,163.06,446.58,252.77,215.69,347.3,407.78,340.66,210.92,355.22,218.56,502.71,352.8,309.14,253.05,220.53,365.13,353.04,215.18,391.53,224.07,253.6
1995_11,422.05,276.77,259.09,356.55,373.95,218.3,258.97,233.93,416.73,217.67,381.14,213.62,367.42,586.21,358.91,695.34,164.19,451.95,257.07,217.71,351.68,412.92,344.83,212.91,359.69,220.62,508.08,357.19,312.66,257.34,224.64,369.74,357.52,217.18,396.36,226.35,257.89
1995_12,427.28,279.69,261.83,360.89,378.78,220.32,263.34,236.27,421.57,219.64,385.79,215.62,371.92,593.05,363.41,703.08,165.33,457.37,261.4,219.7,355.83,418.03,349.1,214.87,364.15,222.66,513.39,361.55,316.27,261.62,228.67,374.38,361.89,219.14,401.34,228.62,262.19
1996_1,433.38,283.64,265.34,366.36,384.01,223.0,264.34,239.32,427.55,222.33,391.58,218.27,377.43,601.69,368.96,712.8,165.76,463.99,262.5,222.4,361.18,424.23,354.36,217.49,369.62,225.34,519.89,366.98,320.78,262.68,229.36,379.68,367.45,221.81,407.08,231.18,263.23
1996_2,439.66,287.58,268.76,371.93,389.36,225.69,265.37,242.28,433.48,225.0,397.33,220.88,383.08,610.28,374.37,722.46,166.26,470.72,263.43,225.02,366.54,430.43,359.5,220.1,375.08,227.99,526.28,372.48,325.44,263.79,230.02,385.13,372.86,224.47,413.08,233.67,264.31
1996_3,445.75,291.71,272.27,377.62,394.52,228.31,266.41,245.3,439.4,227.64,403.04,223.6,388.65,618.67,379.86,731.65,166.82,477.29,264.49,227.87,371.91,436.32,364.72,222.86,380.61,230.8,532.65,378.05,330.02,264.84,230.76,390.51,378.39,227.13,418.93,236.45,265.43
1996_4,451.83,295.09,275.66,382.53,399.64,230.9,267.18,248.22,445.1,230.24,408.69,226.02,394.0,626.97,385.15,741.42,167.04,483.69,265.11,230.29,376.87,442.5,369.72,225.25,385.91,233.3,538.83,383.14,333.96,265.7,231.31,395.58,383.54,229.69,424.65,238.59,266.19
1996_5,457.88,298.8,279.08,387.94,404.78,233.5,268.19,251.17,450.81,232.84,414.27,228.59,399.45,635.2,390.49,750.66,167.45,490.13,266.1,232.86,381.97,448.6,374.8,227.81,391.23,235.92,545.02,388.73,338.29,266.78,231.94,400.87,388.8,232.29,430.43,241.02,267.33
