Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,27,28,29
1995_2,352.66,253.22,228.85,315.32,199.05,400.26,226.12,233.18,194.59,483.54,374.58,199.5,322.76,358.02,316.39,209.41,216.07,321.17,223.65,176.17,529.74,217.32,316.59,197.45,199.17,171.79,207.79
1995_3,357.82,256.68,231.66,320.12,201.19,406.09,230.67,236.1,196.78,490.41,379.79,201.68,327.66,363.29,321.14,211.68,220.69,325.95,228.3,177.89,536.47,221.95,321.45,199.67,201.31,175.85,210.64
1995_4,362.89,260.06,234.46,325.04,203.32,411.76,235.22,238.98,198.82,497.13,384.84,203.82,332.36,368.45,325.77,213.89,225.2,330.63,232.88,179.52,542.73,226.55,326.07,201.75,203.43,179.71,213.39
1995_5,367.78,263.08,237.17,329.23,205.37,417.24,239.65,241.79,200.82,503.63,389.96,205.87,336.92,373.46,330.35,216.12,229.61,335.26,237.32,181.1,549.12,230.9,330.54,203.78,205.51,183.46,216.03
1995_6,372.82,266.33,239.89,333.8,207.47,422.85,244.13,244.61,202.87,510.28,395.05,207.96,341.57,378.5,334.94,218.24,234.09,339.93,241.85,182.7,555.36,235.35,335.15,205.83,207.59,187.19,218.74
1995_7,377.82,269.61,242.6,338.4,209.55,428.42,248.65,247.43,204.92,516.9,400.17,210.04,346.22,383.54,339.54,220.46,238.56,344.55,246.39,184.34,561.76,239.82,339.75,207.89,209.67,190.89,221.44
1995_8,382.88,272.88,245.38,343.03,211.63,434.15,253.14,250.3,206.96,523.67,405.39,212.13,350.95,388.77,344.22,222.62,243.0,349.26,250.91,185.94,568.28,244.27,344.41,209.97,211.74,194.51,224.14
1995_9,387.84,276.12,248.08,347.62,213.73,439.68,257.59,253.12,209.02,530.21,410.38,214.22,355.61,393.76,348.76,224.8,247.42,353.87,255.37,187.58,574.51,248.68,348.96,212.04,213.83,198.06,226.81
1995_10,392.85,279.43,250.8,352.36,215.78,445.28,262.1,255.94,211.04,536.85,415.48,216.3,360.3,398.84,353.34,226.98,251.87,358.51,260.0,189.14,580.77,253.13,353.63,214.11,215.9,201.6,229.53
1995_11,397.69,282.55,253.43,356.7,217.79,450.64,266.43,258.66,213.03,543.23,420.39,218.33,364.82,403.71,357.76,229.06,256.2,362.97,264.29,190.71,586.71,257.42,358.12,216.1,217.93,205.03,232.16
1995_12,402.65,285.58,256.08,361.05,219.8,456.05,270.78,261.44,215.01,549.59,425.24,220.31,369.31,408.56,362.24,231.15,260.48,367.53,268.69,192.33,592.71,261.7,362.47,218.06,219.91,208.38,234.73
1996_1,408.45,289.63,259.5,366.51,222.48,462.71,272.12,265.0,217.62,557.52,431.24,223.01,374.79,414.61,367.76,233.75,261.47,373.11,270.0,193.77,599.64,262.77,368.01,220.73,222.61,208.91,237.06
1996_2,414.46,293.69,262.81,372.06,225.17,469.4,273.49,268.47,220.22,565.47,437.18,225.68,380.4,420.58,373.17,236.41,262.41,378.59,271.2,195.39,606.56,263.89,373.45,223.38,225.25,209.4,239.33
1996_3,420.3,297.9,266.22,377.73,227.8,476.04,274.9,271.99,222.97,573.25,443.1,228.3,385.95,426.6,378.65,239.28,263.51,384.13,272.4,197.0,613.39,264.93,378.99,226.07,228.07,209.97,241.85
1996_4,426.05,301.42,269.52,382.67,230.37,482.43,275.97,275.41,225.37,580.9,448.82,230.93,391.24,432.41,383.92,242.06,264.22,389.43,273.3,198.25,620.17,265.81,384.16,228.59,230.52,210.34,243.8
1996_5,431.83,305.24,272.84,388.14,232.97,488.89,277.33,278.85,227.93,588.52,454.54,233.54,396.79,438.32,389.25,244.82,265.19,394.83,274.51,199.71,626.9,266.91,389.43,231.17,233.1,210.8,246.02
1996_6,437.45,308.99,276.02,393.0,235.49,495.17,278.48,282.17,230.4,595.97,460.09,236.06,401.8,443.86,394.37,247.42,265.99,400.06,275.53,201.12,633.13,267.76,394.57,233.66,235.63,211.16,248.17
1996_7,443.18,312.8,279.27,398.27,238.05,501.6,279.76,285.56,232.92,603.61,465.7,238.61,407.23,449.59,399.6,250.09,266.89,405.31,276.69,202.57,639.44,268.76,399.82,236.21,238.17,211.59,250.33
