Unnamed: 0,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29
1996_1,589.65,347.68,402.61,260.29,222.42,262.35,221.67,204.58,272.24,367.23,230.02,369.77,370.21,246.05,463.55,422.16,219.81,298.88,382.77,244.21,275.68,261.15,371.89,261.25,261.47,397.68,505.88,543.8
1996_2,596.48,352.89,408.48,261.18,225.07,263.37,224.34,204.93,273.5,372.59,232.42,375.34,375.64,249.11,470.29,427.97,222.43,301.52,388.42,247.14,277.06,262.14,377.45,262.16,262.42,403.56,512.76,551.53
1996_3,603.25,358.29,414.4,262.47,227.8,264.39,226.98,205.33,274.63,378.07,234.86,380.79,381.15,252.27,477.04,433.77,225.24,304.09,394.1,249.97,278.47,263.13,382.98,263.28,263.51,409.29,519.71,559.04
1996_4,609.93,362.77,420.13,262.97,230.32,265.08,229.54,205.52,275.69,383.33,237.14,386.03,386.42,255.31,483.49,439.37,227.62,306.43,399.56,252.91,279.64,263.92,388.22,263.83,264.26,414.88,526.3,566.53
1996_5,616.43,367.73,425.98,263.98,232.91,266.1,232.13,205.8,276.9,388.64,239.49,391.32,391.78,258.37,490.03,444.97,230.2,309.09,405.06,255.78,281.01,264.88,393.75,264.83,265.22,420.53,533.12,573.96
1996_6,622.68,372.42,431.44,264.78,235.43,266.89,234.65,206.0,277.99,393.76,241.76,396.55,396.98,261.32,496.38,450.42,232.69,311.25,410.35,258.55,282.21,265.72,398.72,265.62,266.03,426.01,539.37,581.23
1996_7,628.86,377.31,437.11,265.69,237.98,267.77,237.2,206.27,279.17,398.98,244.08,401.65,402.2,264.34,502.87,455.92,235.23,313.73,415.8,261.36,283.56,266.59,404.08,266.54,266.92,431.63,545.78,588.62
1996_8,635.04,382.09,442.6,266.55,240.52,268.65,239.71,206.51,280.25,404.11,246.4,406.86,407.36,267.27,509.05,461.28,237.75,316.09,421.03,264.14,284.77,267.48,409.22,267.43,267.83,436.95,552.18,595.62
1996_9,641.23,386.79,448.18,267.4,243.05,269.49,242.24,206.67,281.33,409.23,248.59,411.94,412.52,270.25,515.32,466.66,240.24,318.43,426.37,266.92,286.01,268.32,414.33,268.27,268.68,442.37,558.55,602.74
1996_10,647.53,391.66,453.67,268.3,245.56,270.43,244.72,206.97,282.56,414.3,250.89,417.06,417.59,273.15,521.67,472.15,242.75,320.88,431.65,269.71,287.38,269.22,419.58,269.15,269.52,447.92,564.92,610.0
