Unnamed: 0,0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1998_7,525.17,470.11,310.69,430.25,306.1,489.53,290.25,229.57,570.45,308.8,253.3,442.31,344.93,439.84,504.25,288.36,308.83,310.22,446.93,271.41,270.72,438.22
1998_8,524.24,469.74,315.35,430.18,310.57,489.07,289.78,229.35,569.8,313.04,256.19,441.96,348.14,439.53,503.5,287.88,313.44,314.67,446.53,270.91,270.21,437.9
1998_9,523.25,469.27,319.86,429.99,314.88,488.49,289.28,229.07,569.09,317.07,258.98,441.59,351.22,439.14,502.59,287.37,317.92,318.96,446.16,270.41,269.68,437.51
1998_10,522.09,468.66,324.14,429.8,319.04,487.83,288.68,228.7,568.25,320.97,261.56,441.09,354.11,438.63,501.64,286.8,322.23,323.06,445.66,269.82,269.1,437.03
1998_11,520.88,468.02,328.3,429.49,323.08,487.14,288.1,228.33,567.41,324.79,264.1,440.54,356.91,438.1,500.65,286.2,326.37,327.03,445.09,269.23,268.51,436.49
1998_12,519.49,467.15,332.21,429.07,326.96,486.18,287.44,227.91,566.26,328.34,266.46,439.79,359.5,437.43,499.37,285.5,330.28,330.77,444.34,268.58,267.8,435.85
1999_1,516.71,465.03,332.32,427.23,327.11,483.92,286.13,227.81,563.61,328.4,266.39,437.73,359.09,435.52,496.77,284.14,330.43,330.88,442.37,267.45,266.53,433.9
1999_2,513.82,462.85,332.48,425.38,327.19,481.52,284.72,227.73,560.8,328.41,266.36,435.7,358.6,433.47,494.11,282.82,330.51,330.93,440.3,266.14,265.24,431.89
1999_3,510.87,460.64,332.56,423.72,327.23,479.1,283.0,227.57,557.96,328.44,266.27,433.6,358.02,431.38,491.4,281.11,330.58,330.92,437.94,264.43,263.74,429.87
1999_4,507.98,458.39,332.73,421.31,327.33,476.57,281.66,227.44,555.01,328.28,266.1,431.46,357.64,429.35,488.6,279.72,330.77,331.07,435.85,263.11,262.45,427.77
1999_5,504.99,455.98,332.75,419.67,327.34,474.01,280.25,227.32,552.12,328.27,266.03,429.36,356.99,427.03,485.88,278.39,330.81,330.97,433.52,261.82,261.12,425.59
1999_6,501.72,453.5,332.71,417.2,327.34,471.54,278.6,227.09,549.03,328.11,265.86,427.13,356.36,424.97,482.92,276.75,330.81,330.94,431.45,260.22,259.6,423.42
1999_7,498.57,451.14,332.81,415.26,327.41,468.93,277.07,226.96,546.03,328.13,265.78,424.9,355.81,422.82,480.03,275.28,330.9,330.97,429.23,258.84,258.22,421.32
1999_8,495.59,448.66,332.73,413.12,327.31,466.35,275.51,226.69,542.94,327.9,265.52,422.69,355.09,420.51,477.23,273.67,330.82,330.82,426.89,257.34,256.68,418.99
1999_9,492.55,446.29,332.82,411.1,327.34,463.85,274.04,226.56,540.0,327.83,265.4,420.41,354.53,418.35,474.41,272.22,330.93,330.86,424.74,255.96,255.3,416.82
1999_10,489.42,443.78,332.78,408.93,327.26,461.23,272.49,226.34,536.87,327.65,265.16,418.11,353.84,416.03,471.48,270.62,330.91,330.7,422.37,254.42,253.8,414.53
1999_11,486.33,441.27,332.7,406.74,327.2,458.51,270.85,226.08,533.69,327.47,264.96,415.69,353.17,413.72,468.51,268.98,330.87,330.64,419.95,252.93,252.27,412.24
1999_12,483.04,438.69,332.55,404.57,327.08,455.83,269.3,225.87,530.52,327.3,264.7,413.36,352.43,411.41,465.55,267.43,330.73,330.48,417.6,251.45,250.77,409.92
2000_1,482.61,438.64,333.46,404.7,328.0,455.73,269.91,226.18,530.36,328.13,265.53,413.4,353.1,411.44,465.25,267.94,331.61,331.34,417.63,252.18,251.28,410.0
2000_2,482.37,438.74,334.45,404.87,328.97,455.76,270.32,226.49,530.33,329.12,266.41,413.47,353.82,411.53,465.07,268.42,332.6,332.32,417.76,252.71,251.82,410.13
2000_3,482.0,438.72,335.41,404.89,329.82,455.71,270.73,226.76,530.25,330.01,267.26,413.48,354.5,411.57,464.82,268.82,333.54,333.23,417.77,253.09,252.28,410.11
2000_4,481.51,438.64,336.3,404.93,330.66,455.53,271.02,226.99,529.97,330.86,268.08,413.32,355.12,411.49,464.41,269.09,334.42,334.1,417.66,253.35,252.68,410.02
2000_5,480.7,438.19,336.99,404.6,331.39,455.04,271.28,227.11,529.37,331.46,268.72,413.01,355.51,411.2,463.71,269.31,335.14,334.71,417.29,253.59,252.97,409.76
2000_6,479.96,437.8,337.67,404.42,332.06,454.58,271.53,227.22,528.79,332.14,269.38,412.78,355.91,410.9,463.07,269.54,335.8,335.34,416.97,253.91,253.27,409.48
2000_7,479.29,437.51,338.4,404.25,332.77,454.22,271.83,227.36,528.34,332.85,270.06,412.47,356.36,410.6,462.53,269.81,336.54,336.04,416.72,254.21,253.59,409.21
2000_8,478.58,437.16,339.1,404.04,333.41,453.85,272.12,227.46,527.83,333.51,270.72,412.16,356.75,410.32,461.94,270.07,337.25,336.72,416.45,254.53,253.89,408.92
2000_9,477.76,436.68,339.7,403.72,333.99,453.28,272.32,227.52,527.14,334.1,271.31,411.77,357.06,409.92,461.18,270.24,337.86,337.3,416.01,254.8,254.15,408.5
2000_10,476.81,436.13,340.2,403.29,334.55,452.69,272.42,227.46,526.39,334.56,271.8,411.3,357.34,409.51,460.37,270.31,338.43,337.79,415.52,254.94,254.29,408.09
2000_11,475.83,435.57,340.68,402.91,335.05,452.1,272.61,227.47,525.68,335.09,272.31,410.84,357.59,409.03,459.58,270.49,338.89,338.3,415.05,255.18,254.54,407.59
2000_12,474.75,434.85,341.14,402.31,335.51,451.34,272.7,227.41,524.69,335.48,272.76,410.25,357.72,408.45,458.59,270.47,339.35,338.68,414.39,255.34,254.64,407.04
2001_1,474.08,434.58,340.73,402.08,335.45,450.97,271.98,226.85,524.34,335.25,272.5,410.1,357.53,408.26,458.0,269.65,339.18,338.36,413.86,254.61,253.73,406.98
2001_2,473.27,434.26,340.49,401.91,335.17,450.58,270.99,226.22,523.85,334.96,272.29,409.84,357.28,408.04,457.32,268.84,338.95,338.1,413.61,253.65,252.79,406.78
2001_3,472.55,434.08,340.37,401.81,334.98,450.33,270.04,225.65,523.52,334.75,272.17,409.76,357.13,407.9,456.79,267.97,338.79,337.97,413.48,252.57,251.88,406.64
2001_4,471.66,433.77,340.12,401.49,334.73,449.95,269.11,225.0,523.04,334.42,271.97,409.46,356.89,407.66,456.12,266.99,338.58,337.75,413.21,251.57,250.9,406.38
2001_5,470.7,433.3,339.76,401.26,334.44,449.37,268.09,224.29,522.35,334.01,271.67,409.11,356.56,407.35,455.25,266.1,338.24,337.41,412.84,250.5,249.87,406.05
