Unnamed: 0,0,1,2,3,4,5,6,7
2006_7,552.1,881.57,536.28,344.81,630.98,479.7,364.26,678.26
2006_8,560.17,896.29,543.28,346.92,641.97,483.15,367.2,689.68
2006_9,568.14,910.87,550.09,348.84,652.7,486.49,369.99,700.96
2006_10,576.02,925.19,556.87,350.75,663.29,489.71,372.8,712.02
2006_11,583.71,939.18,563.43,352.55,673.84,492.87,375.51,723.02
2006_12,591.46,953.22,570.07,354.48,684.37,495.96,378.25,733.93
2007_1,600.1,966.34,578.74,358.76,695.22,502.87,383.73,745.43
2007_2,607.69,979.45,586.51,362.53,705.13,509.0,388.59,754.12
2007_3,615.91,992.03,593.06,365.66,713.63,514.04,392.85,764.19
2007_4,624.31,1005.22,600.83,369.5,723.48,520.18,397.74,774.38
2007_5,632.18,1017.66,608.34,373.17,733.1,526.11,402.47,784.2
2007_6,640.16,1030.31,615.74,376.83,742.65,532.03,407.21,794.12
2007_7,648.36,1043.09,623.53,380.61,752.4,538.08,412.11,804.16
2007_8,656.44,1055.66,631.01,384.33,762.06,544.13,416.87,814.07
2007_9,664.69,1068.92,638.75,388.09,771.94,550.2,421.72,824.3
2007_10,672.76,1081.36,646.31,391.76,781.59,556.14,426.55,834.15
2007_11,680.61,1093.65,653.64,395.17,790.84,561.77,431.16,843.85
2007_12,688.54,1106.04,661.12,398.9,800.35,567.65,435.92,853.38
2008_1,696.47,1116.84,669.34,404.91,808.8,576.46,442.4,862.05
2008_2,704.29,1127.49,677.87,411.95,817.13,585.67,449.2,870.55
2008_3,712.11,1138.5,685.97,417.6,825.44,594.23,455.27,879.07
2008_4,719.68,1148.83,693.99,423.77,833.58,602.93,461.57,887.21
2008_5,727.14,1158.96,701.83,429.79,841.54,611.54,467.76,895.3
2008_6,734.47,1168.9,709.67,435.87,849.45,620.12,473.94,903.15
2008_7,741.93,1178.99,717.55,441.94,857.27,628.7,480.16,911.18
2008_8,749.58,1189.32,725.66,448.08,865.43,637.37,486.43,919.49
2008_9,757.17,1199.53,733.74,454.06,873.4,645.92,492.73,927.53
2008_10,764.67,1209.79,741.71,460.14,881.39,654.5,498.93,935.53
2008_11,771.96,1219.5,749.21,466.13,889.19,662.91,505.04,943.3
2008_12,779.88,1229.66,758.22,472.6,898.41,672.49,511.78,952.81
2009_1,788.36,1235.38,761.46,472.18,901.8,672.07,521.98,956.13
2009_2,797.88,1242.43,766.27,472.67,907.47,673.3,532.77,961.7
2009_3,806.64,1248.36,770.36,472.83,912.46,674.05,542.96,966.63
2009_4,815.57,1254.68,775.05,473.11,917.59,674.9,553.17,971.94
2009_5,823.78,1260.31,778.78,473.17,922.27,675.54,562.78,976.42
2009_6,832.0,1266.05,782.56,473.31,926.96,676.19,572.28,980.94
2009_7,840.23,1271.35,786.54,473.48,931.65,676.88,581.72,985.63
2009_8,848.26,1277.54,790.58,473.68,936.46,677.68,590.97,990.31
2009_9,856.13,1282.7,794.43,473.71,940.92,678.17,599.99,994.86
2009_10,863.84,1288.01,798.03,473.77,945.35,678.6,608.84,999.15
2009_11,871.5,1293.35,802.11,474.02,949.75,679.67,617.5,1003.69
2009_12,879.39,1298.71,806.27,474.29,955.35,680.5,626.81,1009.85
2010_1,884.67,1306.76,810.96,477.4,960.71,684.92,630.12,1014.48
2010_2,890.87,1315.36,817.07,481.35,967.59,690.52,634.52,1021.38
2010_3,897.29,1324.33,823.34,485.4,974.73,696.31,638.84,1028.67
2010_4,903.35,1333.21,829.41,489.42,981.63,701.92,643.09,1035.63
2010_5,909.19,1341.21,835.34,493.3,988.4,707.5,647.22,1042.38
2010_6,915.17,1349.33,841.14,497.09,995.01,712.89,651.36,1049.03
2010_7,921.15,1358.07,847.14,501.01,1001.8,718.5,655.54,1055.88
2010_8,927.1,1366.29,853.04,504.93,1008.47,724.02,659.74,1062.66
2010_9,933.27,1375.0,859.11,508.77,1015.32,729.53,663.96,1069.47
2010_10,939.04,1382.62,864.92,512.49,1021.85,734.94,667.86,1076.05
2010_11,944.9,1390.76,870.56,516.3,1028.39,740.32,671.98,1082.7
2010_12,950.38,1398.19,876.04,519.86,1034.74,745.53,675.83,1088.83
2011_1,955.22,1405.03,881.16,523.74,1040.22,750.66,680.27,1093.97
2011_2,960.51,1412.06,886.44,527.77,1045.84,755.85,684.7,1099.65
2011_3,965.66,1419.04,891.7,531.6,1051.5,761.06,688.96,1105.15
2011_4,970.38,1425.29,896.5,535.43,1056.71,766.01,693.09,1110.17
2011_5,974.94,1431.95,901.21,539.2,1061.9,771.04,697.14,1115.13
2011_6,979.78,1437.79,906.07,542.95,1067.09,776.02,701.31,1120.21
2011_7,984.69,1444.53,911.07,546.78,1072.36,781.07,705.51,1125.42
2011_8,989.74,1451.41,916.2,550.68,1077.85,786.21,709.82,1130.72
2011_9,994.53,1457.83,921.15,554.47,1083.05,791.14,714.05,1135.91
2011_10,999.15,1464.07,925.78,558.25,1088.16,796.12,718.07,1140.74
2011_11,1003.7,1469.83,930.51,561.87,1093.16,800.92,722.09,1145.51
2011_12,1008.28,1476.01,935.17,565.48,1098.17,805.76,726.14,1150.39
2012_1,1014.32,1488.07,941.9,568.73,1107.96,811.18,726.94,1160.12
2012_2,1020.69,1501.36,949.09,571.65,1118.1,816.9,727.88,1170.63
2012_3,1026.79,1514.32,955.91,574.71,1127.94,822.33,728.59,1180.58
2012_4,1032.63,1526.6,962.62,577.71,1137.48,827.77,729.16,1190.15
2012_5,1038.54,1538.92,969.3,580.74,1147.17,833.2,729.87,1200.01
2012_6,1044.23,1550.85,975.76,583.63,1156.57,838.48,730.38,1209.5
2012_7,1050.21,1563.34,982.49,586.67,1166.24,843.89,731.09,1219.33
2012_8,1055.72,1575.23,988.9,589.59,1175.5,849.15,731.58,1228.76
2012_9,1061.66,1587.43,995.57,592.58,1185.16,854.53,732.24,1238.49
2012_10,1067.36,1598.95,1002.15,595.35,1194.45,859.68,732.65,1247.8
2012_11,1072.67,1610.23,1008.23,598.07,1203.63,864.71,733.15,1256.83
2012_12,1079.15,1622.69,1016.03,601.75,1214.59,871.13,734.57,1269.22
2013_1,1261.71,1943.53,1180.18,626.07,1457.91,969.64,786.92,1529.54
2013_2,1256.67,1954.46,1178.87,626.87,1459.74,973.44,783.77,1518.66
2013_3,1263.27,1964.6,1184.04,630.49,1466.24,978.06,786.63,1526.75
2013_4,1266.61,1969.68,1191.65,633.35,1472.57,984.25,788.73,1527.66
2013_5,1268.62,1975.88,1193.73,635.51,1478.04,989.8,789.18,1533.31
2013_6,1274.28,1980.12,1199.36,639.27,1484.72,996.59,791.13,1540.13
2013_7,1290.8,1992.78,1212.84,648.28,1494.17,1006.69,799.27,1564.63
2013_8,1286.86,2002.11,1212.05,645.97,1498.97,1007.64,796.07,1555.86
2013_9,1288.08,2001.25,1215.71,649.17,1502.66,1012.97,797.55,1558.02
2013_10,1292.27,2012.87,1220.49,651.72,1508.86,1017.74,798.51,1562.07
2013_11,1298.27,2016.88,1224.76,656.0,1513.92,1023.48,800.72,1573.81
2013_12,1313.45,2026.22,1236.62,659.43,1522.49,1029.11,806.24,1594.72
2014_1,1313.29,2032.32,1236.12,661.35,1527.7,1033.17,806.14,1597.68
2014_2,1311.54,2039.35,1239.33,662.82,1533.44,1035.36,808.87,1588.23
2014_3,1321.48,2055.85,1248.02,665.11,1543.13,1040.24,813.45,1598.68
2014_4,1328.19,2062.79,1253.23,667.33,1549.42,1043.79,817.24,1604.4
2014_5,1338.25,2065.35,1257.37,669.59,1554.43,1048.22,821.71,1624.98
2014_6,1348.19,2074.03,1268.48,676.66,1566.38,1055.17,828.33,1632.58
2014_7,1350.15,2079.11,1268.01,675.68,1567.97,1056.4,829.28,1627.88
2014_8,1346.5,2088.76,1269.4,674.71,1572.37,1056.76,829.22,1625.77
2014_9,1349.32,2091.63,1273.1,676.4,1577.85,1059.38,832.47,1629.55
2014_10,1362.09,2095.51,1279.84,679.13,1584.12,1063.43,835.55,1644.31
2014_11,1375.42,2102.85,1291.59,686.26,1596.58,1071.55,844.93,1665.76
2014_12,1378.71,2109.55,1292.85,684.74,1600.29,1072.16,845.61,1669.56
2015_1,1361.13,2107.84,1282.11,680.04,1591.39,1063.37,837.28,1641.95
2015_2,1358.77,2105.68,1277.73,676.38,1587.76,1057.57,834.31,1641.18
2015_3,1353.43,2096.73,1272.76,672.39,1582.52,1049.97,831.36,1633.67
2015_4,1356.52,2085.58,1269.96,670.9,1576.58,1044.34,829.93,1643.58
2015_5,1345.55,2076.92,1263.51,669.58,1572.97,1040.75,825.45,1628.62
2015_6,1338.28,2073.87,1255.09,665.06,1567.0,1033.39,820.3,1616.23
2015_7,1335.55,2066.36,1249.67,661.58,1562.23,1027.56,816.77,1613.45
2015_8,1324.95,2060.48,1241.6,655.18,1556.57,1017.58,810.08,1605.82
2015_9,1322.17,2051.87,1237.11,649.58,1551.11,1010.54,806.55,1600.15
2015_10,1317.2,2041.3,1230.41,645.69,1543.91,1002.76,803.15,1593.84
