Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,13,14
1998_8,229.55,534.36,361.64,313.87,451.78,289.71,270.5,440.92,309.87,525.71,498.91,311.6,313.4,317.9
1998_9,230.36,533.29,361.43,318.2,451.4,289.21,269.97,440.52,314.33,525.03,498.05,315.99,317.89,321.98
1998_10,231.05,532.05,361.18,322.37,450.92,288.63,269.36,440.02,318.55,524.25,497.15,320.07,322.21,325.89
1998_11,231.71,530.75,360.87,326.4,450.39,288.03,268.79,439.47,322.67,523.45,496.2,324.12,326.35,329.67
1998_12,232.29,529.28,360.43,330.26,449.7,287.36,268.07,438.78,326.6,522.35,494.97,327.93,330.25,333.22
1999_1,232.37,526.38,358.84,330.39,447.69,286.07,266.83,436.87,326.78,519.87,492.43,328.04,330.38,333.24
1999_2,232.48,523.38,357.25,330.46,445.62,284.76,265.55,434.83,326.85,517.24,489.83,328.2,330.48,333.23
1999_3,232.51,520.32,355.6,330.48,443.52,282.97,264.06,432.75,327.0,514.59,487.17,328.22,330.58,333.15
1999_4,232.55,517.32,353.74,330.59,441.35,281.56,262.69,430.67,327.05,511.83,484.44,328.35,330.74,333.2
1999_5,232.61,514.23,352.27,330.58,439.1,280.15,261.39,428.35,327.15,509.06,481.77,328.38,330.78,333.04
1999_6,232.58,510.83,350.26,330.56,436.83,278.5,259.84,426.26,327.18,506.31,478.87,328.34,330.78,332.91
1999_7,232.63,507.59,348.57,330.61,434.63,277.01,258.49,424.11,327.32,503.5,476.04,328.42,330.86,332.86
1999_8,232.54,504.49,346.72,330.5,432.24,275.43,256.96,421.8,327.21,500.63,473.3,328.34,330.77,332.63
1999_9,232.59,501.35,344.99,330.54,430.0,273.97,255.57,419.63,327.33,497.91,470.52,328.38,330.87,332.59
1999_10,232.55,498.11,343.13,330.44,427.63,272.36,254.05,417.31,327.28,495.02,467.65,328.31,330.86,332.36
1999_11,232.49,494.91,341.24,330.36,425.26,270.75,252.53,414.98,327.25,492.07,464.73,328.21,330.81,332.21
1999_12,232.44,491.52,339.4,330.21,422.84,269.19,251.02,412.66,327.14,489.13,461.82,328.06,330.67,331.96
2000_1,232.91,491.03,339.68,331.12,422.87,269.86,251.57,412.68,328.02,488.96,461.55,328.99,331.55,332.8
2000_2,233.39,490.75,340.0,332.08,423.0,270.3,252.12,412.79,329.05,488.94,461.4,329.95,332.55,333.73
2000_3,233.84,490.33,340.21,332.96,422.98,270.66,252.57,412.82,329.93,488.83,461.18,330.9,333.49,334.6
2000_4,234.26,489.77,340.37,333.81,422.89,270.9,252.94,412.75,330.81,488.57,460.8,331.75,334.37,335.44
2000_5,234.53,488.91,340.32,334.51,422.57,271.1,253.22,412.43,331.53,487.99,460.13,332.45,335.1,336.03
2000_6,234.82,488.11,340.34,335.17,422.25,271.34,253.51,412.13,332.16,487.43,459.52,333.15,335.76,336.63
2000_7,235.12,487.39,340.37,335.89,421.97,271.62,253.84,411.85,332.92,487.0,459.01,333.88,336.48,337.29
2000_8,235.39,486.62,340.39,336.54,421.66,271.9,254.14,411.56,333.58,486.53,458.45,334.56,337.18,337.93
2000_9,235.62,485.74,340.3,337.12,421.21,272.08,254.4,411.15,334.19,485.87,457.72,335.16,337.79,338.47
2000_10,235.73,484.73,340.12,337.67,420.75,272.14,254.54,410.73,334.81,485.18,456.94,335.64,338.35,338.94
2000_11,235.89,483.69,340.0,338.15,420.23,272.33,254.77,410.25,335.31,484.49,456.19,336.12,338.81,339.4
2000_12,235.99,482.57,339.69,338.59,419.62,272.39,254.86,409.65,335.75,483.56,455.23,336.55,339.28,339.76
2001_1,235.6,481.78,339.19,338.5,419.45,271.61,253.98,409.39,335.69,483.14,454.69,336.35,339.0,339.51
2001_2,235.19,480.89,338.68,338.23,419.2,270.76,253.05,409.17,335.42,482.67,454.06,336.1,338.79,339.27
2001_3,234.85,480.1,338.21,338.04,419.03,269.77,252.13,409.04,335.25,482.37,453.58,335.94,338.65,339.14
2001_4,234.43,479.12,337.58,337.8,418.75,268.83,251.14,408.8,335.03,481.91,452.95,335.71,338.43,338.92
2001_5,233.95,478.08,337.02,337.48,418.36,267.85,250.08,408.47,334.72,481.24,452.14,335.34,338.08,338.6
2001_6,233.45,477.09,336.37,337.16,418.02,266.86,249.05,408.16,334.38,480.65,451.42,335.0,337.75,338.28
2001_7,232.96,476.08,335.67,336.83,417.63,265.83,247.98,407.8,334.06,480.03,450.7,334.64,337.4,337.93
2001_8,232.46,475.03,335.0,336.47,417.23,264.82,246.93,407.44,333.74,479.36,449.9,334.34,337.06,337.6
2001_9,231.95,473.99,334.34,336.1,416.79,263.9,245.86,407.06,333.39,478.79,449.13,333.95,336.69,337.26
2001_10,231.44,472.99,333.62,335.69,416.34,262.82,244.76,406.63,332.97,478.08,448.33,333.42,336.28,336.86
2001_11,230.77,471.77,332.8,335.19,415.78,261.66,243.52,406.1,332.46,477.25,447.41,332.89,335.78,336.36
2001_12,230.24,470.5,331.99,334.61,415.12,260.59,242.44,405.52,331.94,476.37,446.44,332.42,335.2,335.86
2002_1,230.27,470.06,332.24,335.06,415.23,261.15,242.94,405.64,332.22,476.29,446.21,332.77,335.58,336.3
2002_2,230.47,469.92,332.74,335.78,415.53,261.87,243.65,405.95,333.15,476.53,446.25,333.44,336.32,337.0
2002_3,230.62,469.65,333.04,336.32,415.67,262.23,244.13,406.13,333.65,476.6,446.21,333.99,336.89,337.56
2002_4,230.76,469.32,333.36,336.88,415.79,262.71,244.66,406.29,334.26,476.58,446.02,334.59,337.51,338.11
