Unnamed: 0,0,1,2,3,4,5,6,7,8,9
2003_4,386.46,624.01,215.17,386.63,348.43,254.48,411.37,360.29,403.15,464.64
2003_5,389.54,628.02,216.22,389.7,350.65,256.1,414.76,362.77,405.69,468.36
2003_6,392.73,632.35,217.3,392.87,352.83,257.77,418.31,365.25,408.21,472.19
2003_7,395.61,636.22,218.39,395.82,355.13,259.28,421.62,367.78,410.82,475.7
2003_8,398.72,640.37,219.48,398.94,357.43,260.87,425.1,370.29,413.42,479.41
2003_9,401.8,644.42,220.45,401.98,359.65,262.47,428.56,372.74,416.02,483.15
2003_10,404.76,648.44,221.44,404.92,361.84,264.02,431.91,375.15,418.55,486.78
2003_11,407.7,651.92,222.25,407.65,363.67,265.39,435.0,377.25,420.73,490.36
2003_12,410.28,655.44,223.17,410.46,365.75,266.81,438.19,379.61,423.09,493.41
2004_1,414.33,660.01,225.4,414.14,369.05,270.23,441.97,383.01,427.08,497.45
2004_2,417.98,663.89,227.49,417.47,372.13,273.47,445.39,386.13,430.55,501.02
2004_3,421.65,667.72,229.57,420.81,375.22,276.61,448.8,389.23,434.12,504.56
2004_4,425.13,671.4,231.58,423.97,378.23,279.68,452.12,392.31,437.66,507.88
2004_5,428.62,674.96,233.58,427.15,381.19,282.8,455.41,395.34,441.05,511.23
2004_6,432.1,678.42,235.58,430.31,384.13,285.89,458.64,398.34,444.51,514.54
2004_7,435.61,682.05,237.61,433.5,387.09,289.02,461.93,401.37,447.91,517.94
2004_8,439.18,685.73,239.65,436.7,390.11,292.13,465.27,404.43,451.37,521.32
2004_9,442.78,689.46,241.62,439.98,393.06,295.28,468.56,407.44,454.81,524.78
2004_10,446.19,692.96,243.57,443.08,396.04,298.32,471.78,410.42,458.2,528.07
2004_11,449.64,696.46,245.5,446.16,398.92,301.38,474.99,413.37,461.58,531.32
2004_12,453.01,699.81,247.43,449.25,401.65,304.44,478.16,416.25,464.9,534.55
2005_1,457.77,705.56,249.95,453.56,404.85,307.85,482.94,419.6,468.22,539.93
2005_2,462.64,712.26,252.5,457.89,408.17,311.1,488.04,423.56,472.29,545.39
2005_3,467.51,718.7,255.39,462.72,411.76,314.66,493.11,427.32,476.48,550.89
2005_4,472.29,725.02,258.08,467.21,415.13,318.05,498.12,431.02,480.45,556.35
2005_5,477.07,731.33,260.71,471.58,418.44,321.41,503.05,434.64,484.43,561.7
2005_6,481.78,737.21,263.25,476.02,421.59,324.73,507.9,438.17,487.96,567.01
2005_7,486.56,743.4,265.94,480.47,424.92,328.12,512.8,441.82,491.7,572.35
2005_8,491.38,749.67,268.59,484.96,428.23,331.5,517.82,445.49,495.44,577.79
2005_9,496.09,755.72,271.13,489.35,431.5,334.81,522.69,449.04,499.23,583.14
2005_10,500.9,761.91,273.7,493.8,434.77,338.17,527.62,452.63,503.08,588.48
2005_11,505.52,767.82,276.22,498.08,437.91,341.46,532.41,456.14,506.8,593.72
2005_12,510.15,773.58,278.66,502.34,440.85,344.77,537.17,459.56,509.96,598.83
2006_1,519.1,787.71,280.79,510.31,443.29,347.84,547.39,463.54,512.86,610.82
2006_2,528.28,802.09,283.2,518.5,446.16,350.94,557.77,468.07,516.04,622.97
2006_3,537.12,816.22,285.59,526.45,448.75,353.93,567.87,472.18,519.26,634.81
2006_4,545.92,829.84,287.65,534.23,451.2,356.94,577.86,476.26,522.29,646.28
2006_5,554.51,843.27,289.77,541.87,453.48,359.73,587.66,480.12,524.87,657.79
2006_6,563.3,856.93,291.94,549.66,455.9,362.69,597.55,484.09,527.53,669.4
2006_7,571.89,870.21,294.02,557.22,458.11,365.52,607.27,487.92,530.24,680.79
2006_8,580.55,883.66,296.19,564.9,460.46,368.44,617.14,491.79,532.77,692.24
2006_9,589.1,896.83,298.17,572.39,462.63,371.2,626.78,495.55,535.45,703.55
2006_10,597.55,909.7,300.15,579.84,464.75,373.99,636.29,499.18,537.8,714.63
2006_11,605.82,922.48,302.01,587.05,466.76,376.66,645.75,502.79,540.25,725.65
2006_12,614.14,935.01,304.0,594.36,468.79,379.37,655.2,506.31,541.93,736.58
2007_1,623.16,946.19,307.76,603.52,474.78,384.84,665.46,513.45,548.59,748.08
2007_2,631.11,957.9,310.89,611.71,480.35,389.7,674.81,519.79,555.02,756.92
2007_3,639.72,969.6,313.42,618.59,485.1,393.95,682.81,524.99,561.33,766.9
2007_4,648.5,981.35,316.64,626.77,490.68,398.84,692.11,531.33,568.3,777.13
2007_5,656.74,992.45,319.71,634.69,496.07,403.55,701.18,537.45,574.31,786.96
2007_6,665.09,1003.55,322.77,642.49,501.39,408.28,710.18,543.59,580.74,796.89
2007_7,673.68,1014.92,325.94,650.71,506.9,413.18,719.38,549.84,586.57,806.95
