Unnamed: 0,0,1,2,3,5,6,7,8,9,10,11
2002_7,340.15,317.39,393.55,326.69,463.95,444.25,337.3,415.74,400.16,237.78,246.15
2002_8,340.59,317.65,393.65,327.18,463.55,444.19,337.75,415.77,400.19,237.9,246.7
2002_9,340.91,317.81,393.59,327.43,462.96,443.77,338.07,415.66,400.15,237.92,247.09
2002_10,341.18,317.92,393.53,327.65,462.36,443.36,338.39,415.46,400.03,237.91,247.43
2002_11,341.33,317.93,393.35,327.71,461.55,442.73,338.6,415.16,399.82,237.84,247.75
2002_12,341.46,317.91,393.06,327.66,460.69,442.04,338.58,414.77,399.53,237.71,247.91
2003_1,343.52,320.13,396.29,329.99,464.13,445.64,340.75,418.13,402.74,239.06,249.4
2003_2,346.3,323.07,400.18,333.05,468.33,449.67,343.41,422.37,406.74,240.75,251.32
2003_3,348.64,325.46,403.66,335.54,472.09,453.42,345.68,426.08,410.27,242.23,252.7
2003_4,351.06,327.87,407.03,338.15,475.85,457.13,348.0,429.85,413.85,243.72,254.32
2003_5,353.37,330.4,410.45,340.7,479.44,460.83,350.23,433.5,417.29,245.12,255.88
2003_6,355.73,332.93,413.83,343.33,483.31,464.62,352.43,437.3,420.89,246.63,257.48
2003_7,358.04,335.29,417.28,345.73,486.82,468.1,354.72,440.79,424.26,248.03,258.91
2003_8,360.43,337.76,420.72,348.31,490.49,471.78,356.99,444.54,427.79,249.49,260.44
2003_9,362.72,340.24,424.1,350.87,494.17,475.49,359.2,448.24,431.31,250.86,261.99
2003_10,364.97,342.59,427.44,353.34,497.8,479.1,361.38,451.8,434.71,252.23,263.51
2003_11,366.9,344.81,430.47,355.75,500.99,482.66,363.22,455.27,437.81,253.41,264.76
2003_12,369.07,347.0,433.74,357.91,504.32,485.68,365.3,458.49,441.09,254.7,266.19
2004_1,372.42,350.72,437.48,361.89,508.35,489.68,368.6,462.43,444.88,257.4,269.9
2004_2,375.53,354.16,440.89,365.48,511.87,493.23,371.67,465.97,448.32,259.93,273.38
2004_3,378.66,357.53,444.25,369.08,515.36,496.74,374.73,469.52,451.75,262.46,276.64
2004_4,381.64,360.78,447.58,372.53,518.72,500.03,377.74,472.9,455.09,264.89,279.85
2004_5,384.6,364.08,450.85,376.03,522.04,503.36,380.71,476.23,458.4,267.32,283.16
2004_6,387.55,367.35,454.08,379.5,525.31,506.66,383.65,479.57,461.65,269.74,286.48
2004_7,390.53,370.65,457.35,382.99,528.66,510.03,386.61,482.95,464.96,272.22,289.8
2004_8,393.55,373.95,460.67,386.54,532.02,513.38,389.62,486.39,468.31,274.66,293.13
2004_9,396.55,377.35,463.93,390.11,535.44,516.83,392.56,489.83,471.62,277.09,296.5
2004_10,399.49,380.55,467.14,393.52,538.71,520.09,395.52,493.12,474.85,279.45,299.74
2004_11,402.37,383.76,470.35,396.98,542.0,523.31,398.4,496.38,478.07,281.83,303.01
2004_12,405.23,386.98,473.49,400.36,545.11,526.54,401.15,499.63,481.26,284.2,306.28
2005_1,408.36,391.07,478.06,404.66,550.41,531.87,404.32,504.85,486.11,287.18,309.73
2005_2,411.81,395.02,483.45,409.01,555.96,537.28,407.75,510.02,491.3,290.17,312.93
2005_3,415.61,399.37,488.37,413.33,561.45,542.72,411.23,515.58,496.43,293.55,316.16
2005_4,419.1,403.46,493.35,417.63,566.9,548.13,414.6,520.9,501.51,296.71,319.44
2005_5,422.4,407.54,498.25,421.87,572.4,553.43,417.88,526.19,506.52,299.79,322.62
2005_6,425.78,411.61,503.0,426.11,577.59,558.7,421.06,531.35,511.44,302.79,325.86
2005_7,429.23,415.68,507.9,430.37,582.96,563.99,424.37,536.62,516.41,305.94,329.12
2005_8,432.66,419.8,512.85,434.71,588.44,569.37,427.69,541.95,521.51,309.04,332.4
2005_9,436.0,423.84,517.68,438.92,593.73,574.68,430.93,547.15,526.46,312.04,335.6
2005_10,439.38,427.95,522.58,443.23,599.12,579.96,434.19,552.44,531.46,315.09,338.83
2005_11,442.63,431.89,527.37,447.44,604.33,585.17,437.33,557.54,536.33,318.09,342.02
2005_12,445.8,435.9,532.1,451.58,609.45,590.23,440.3,562.58,541.17,321.0,345.39
2006_1,448.78,442.61,541.93,458.38,621.54,602.09,442.73,574.2,551.72,323.58,348.43
2006_2,452.29,449.29,552.48,465.42,633.72,614.12,445.59,585.96,562.42,326.45,351.35
2006_3,455.46,455.79,562.4,472.16,645.66,625.83,448.15,597.42,572.85,329.25,354.12
2006_4,458.45,462.42,572.27,478.88,656.98,637.19,450.62,608.64,583.16,331.73,357.03
2006_5,461.35,468.68,581.91,485.43,668.74,648.57,452.89,619.83,593.3,334.25,359.66
2006_6,464.35,475.16,591.71,492.18,680.39,660.08,455.29,631.11,603.51,336.85,362.53
2006_7,467.16,481.44,601.36,498.75,691.85,671.36,457.51,642.19,613.55,339.34,365.24
2006_8,470.11,487.82,611.04,505.36,703.37,682.69,459.82,653.35,623.75,341.92,368.04
2006_9,472.86,494.04,620.58,511.92,714.7,693.89,461.99,664.35,633.73,344.31,370.69
2006_10,475.55,500.26,629.91,518.38,725.75,704.87,464.09,675.21,643.56,346.69,373.43
2006_11,478.06,506.28,639.37,524.67,736.91,715.79,466.11,685.97,653.34,349.0,375.92
2006_12,480.66,512.37,648.69,531.07,747.82,726.62,468.13,696.66,663.11,351.33,378.58
2007_1,487.04,520.23,658.89,538.83,759.75,738.09,474.31,707.59,673.53,356.18,383.84
2007_2,492.88,527.2,668.16,545.54,770.04,746.68,479.87,717.57,683.04,360.35,388.51
2007_3,497.93,533.16,676.13,552.88,778.14,756.68,484.42,726.44,691.22,363.77,392.96
2007_4,503.78,540.17,685.39,560.39,788.44,766.81,489.97,736.5,700.67,368.0,397.56
2007_5,509.46,546.91,694.29,567.39,798.25,776.58,495.36,746.22,709.92,372.05,402.23
2007_6,515.01,553.63,703.31,574.56,808.12,786.43,500.71,755.85,719.08,376.07,406.86
2007_7,520.83,560.66,712.44,581.86,818.15,796.4,506.2,765.87,728.45,380.26,411.64
2007_8,526.51,567.4,721.53,589.12,828.21,806.25,511.7,775.66,737.73,384.32,416.28
2007_9,532.33,574.38,730.74,596.48,838.49,816.42,517.2,785.65,747.21,388.45,421.09
2007_10,538.01,581.24,739.75,603.72,848.33,826.22,522.61,795.45,756.48,392.5,425.79
2007_11,543.49,587.84,748.45,610.74,857.94,835.86,527.66,804.93,765.36,396.36,430.34
2007_12,549.07,594.64,757.34,617.88,867.6,845.34,533.07,814.58,774.51,400.38,435.05
2008_1,557.71,601.79,765.89,625.46,876.21,853.96,541.88,823.15,782.98,406.41,441.39
2008_2,567.2,608.94,774.3,632.93,884.68,862.42,551.33,831.57,791.39,413.36,447.61
2008_3,575.78,615.88,782.62,640.35,893.21,870.9,559.86,839.98,799.71,419.0,453.47
2008_4,584.54,622.68,790.74,647.54,901.45,878.99,568.65,848.16,807.9,425.13,459.41
2008_5,593.08,629.37,798.79,654.69,909.46,887.05,577.37,856.14,815.92,431.08,465.35
2008_6,601.7,636.05,806.8,661.76,917.3,894.87,586.08,863.98,823.89,437.09,471.14
2008_7,610.27,642.77,814.74,668.89,925.27,902.85,594.79,871.97,831.77,443.11,477.04
2008_8,619.03,649.69,822.9,676.19,933.67,911.12,603.58,880.2,839.96,449.15,483.03
2008_9,627.59,656.67,830.82,683.45,941.63,919.13,612.26,888.46,847.98,455.09,489.17
2008_10,636.26,663.47,838.9,690.65,949.68,927.1,620.96,896.33,856.03,461.12,494.91
2008_11,644.73,669.84,846.75,697.66,957.55,934.83,629.54,904.12,863.88,466.96,500.82
2008_12,653.89,677.61,856.1,705.31,967.87,944.32,639.03,913.24,873.1,473.5,507.23
2009_1,653.73,686.61,858.97,715.37,970.16,947.63,638.09,917.05,876.16,476.09,520.93
2009_2,654.62,696.94,863.98,726.28,975.8,953.18,638.62,922.8,881.39,479.43,535.13
2009_3,654.91,706.5,868.39,736.48,980.6,958.11,638.72,927.81,885.98,482.38,548.61
2009_4,655.66,716.5,872.75,746.77,985.86,963.4,638.89,933.06,890.68,485.48,561.93
2009_5,655.84,725.37,876.82,756.38,990.29,967.88,638.91,937.74,894.97,488.24,574.77
2009_6,656.15,734.25,880.9,765.92,994.75,972.4,638.94,942.37,899.26,490.99,587.22
2009_7,656.53,743.22,884.95,775.42,999.32,977.08,639.0,947.22,903.57,493.78,599.68
2009_8,657.0,752.1,889.35,784.72,1004.14,981.76,639.14,952.09,907.99,496.53,611.81
2009_9,657.24,760.81,893.19,793.79,1008.45,986.3,639.03,956.67,912.04,499.06,623.79
2009_10,657.48,769.14,897.0,802.73,1012.74,990.58,638.86,961.28,916.1,501.57,635.49
2009_11,657.77,777.92,900.88,811.56,1017.11,995.13,639.49,965.78,920.12,504.05,646.9
2009_12,658.39,786.66,905.89,820.7,1023.87,1001.33,639.4,971.18,925.28,507.11,658.91
2010_1,663.05,790.73,911.12,825.69,1027.91,1005.9,643.72,976.74,930.59,509.99,662.5
2010_2,668.6,796.24,917.78,831.51,1034.76,1012.78,649.14,983.71,937.35,513.91,667.11
2010_3,674.33,801.76,924.75,837.34,1042.03,1020.03,654.7,991.06,944.36,517.94,671.2
